gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AT5G04360,12872.239252344476,1.234614515846381,0.04733824773360463,26.080697426617018,6.03709661385584e-150,5.936729882650486e-147
AT5G04370,12872.239252344476,1.234614515846381,0.04733824773360463,26.080697426617018,6.03709661385584e-150,5.936729882650486e-147
AT5G04380,12872.239252344476,1.234614515846381,0.04733824773360463,26.080697426617018,6.03709661385584e-150,5.936729882650486e-147
AT5G00950,12872.239252344476,1.234614515846381,0.04733824773360463,26.080697426617018,6.03709661385584e-150,5.936729882650486e-147
AT5G00955,12872.239252344476,1.234614515846381,0.04733824773360463,26.080697426617018,6.03709661385584e-150,5.936729882650486e-147
AT5G00960,12872.239252344476,1.234614515846381,0.04733824773360463,26.080697426617018,6.03709661385584e-150,5.936729882650486e-147
AT5G04347,12872.239252344476,1.234614515846381,0.04733824773360463,26.080697426617018,6.03709661385584e-150,5.936729882650486e-147
AT5G04350,12872.239252344476,1.234614515846381,0.04733824773360463,26.080697426617018,6.03709661385584e-150,5.936729882650486e-147
AT4G31970,7260.195389575205,1.0218686705282236,0.04653591272017155,21.958711257537715,7.149814226888279e-107,4.6872990435775077e-104
AT4G31980,7260.195389575205,1.0218686705282236,0.04653591272017155,21.958711257537715,7.149814226888279e-107,4.6872990435775077e-104
AT4G08615,7260.195389575205,1.0218686705282236,0.04653591272017155,21.958711257537715,7.149814226888279e-107,4.6872990435775077e-104
AT4G08625,7260.195389575205,1.0218686705282236,0.04653591272017155,21.958711257537715,7.149814226888279e-107,4.6872990435775077e-104
AT4G00250,2248.2707713416066,-1.9059504650397159,0.09083447761063669,-20.982676569238393,9.442625057775512e-98,5.3060808092514255e-95
AT4G00260,2248.2707713416066,-1.9059504650397159,0.09083447761063669,-20.982676569238393,9.442625057775512e-98,5.3060808092514255e-95
AT4G35160,7457.281890184344,-0.8546294959100416,0.04086302030456062,-20.91449651886497,3.951773976052187e-97,1.636242414189608e-94
AT4G35165,7457.281890184344,-0.8546294959100416,0.04086302030456062,-20.91449651886497,3.951773976052187e-97,1.636242414189608e-94
AT4G35170,7457.281890184344,-0.8546294959100416,0.04086302030456062,-20.91449651886497,3.951773976052187e-97,1.636242414189608e-94
AT4G35180,7457.281890184344,-0.8546294959100416,0.04086302030456062,-20.91449651886497,3.951773976052187e-97,1.636242414189608e-94
AT4G09115,7457.281890184344,-0.8546294959100416,0.04086302030456062,-20.91449651886497,3.951773976052187e-97,1.636242414189608e-94
AT3G06820,783.0899237042352,3.2073508598742584,0.16275003348395467,19.707220890928216,1.8695643678455017e-86,7.003744229447886e-84
AT3G06830,783.0899237042352,3.2073508598742584,0.16275003348395467,19.707220890928216,1.8695643678455017e-86,7.003744229447886e-84
AT1G68260,7241.246537256333,0.9156728965971926,0.04850353645903806,18.878476982198848,1.7145925555517367e-79,5.620291514385631e-77
AT1G68270,7241.246537256333,0.9156728965971926,0.04850353645903806,18.878476982198848,1.7145925555517367e-79,5.620291514385631e-77
AT1G68280,7241.246537256333,0.9156728965971926,0.04850353645903806,18.878476982198848,1.7145925555517367e-79,5.620291514385631e-77
AT5G03050,1795.5259358042547,1.7794787831741554,0.09454035468407503,18.82242550412075,4.946736711291113e-79,1.4967683733741225e-76
AT5G03060,1795.5259358042547,1.7794787831741554,0.09454035468407503,18.82242550412075,4.946736711291113e-79,1.4967683733741225e-76
AT3G20870,6953.976981384379,0.8041964457860754,0.042867393624499255,18.760096609336824,1.601082454481328e-78,4.498469881930217e-76
AT3G20880,6953.976981384379,0.8041964457860754,0.042867393624499255,18.760096609336824,1.601082454481328e-78,4.498469881930217e-76
AT5G37460,4124.8342536701675,1.3713114160942455,0.0736947512095971,18.60799301966654,2.7679307323289256e-77,7.024293893945696e-75
AT5G37470,4124.8342536701675,1.3713114160942455,0.0736947512095971,18.60799301966654,2.7679307323289256e-77,7.024293893945696e-75
AT5G05485,4124.8342536701675,1.3713114160942455,0.0736947512095971,18.60799301966654,2.7679307323289256e-77,7.024293893945696e-75
AT1G01990,708.311677895653,3.7829945527517475,0.22367645701503816,16.9127971858809,3.621049016318341e-64,8.902122691055121e-62
AT1G68340,525.2167813892146,3.6057721239175913,0.2176862805962423,16.56407612846059,1.2671141094358512e-61,3.020723242100558e-59
AT1G69310,1750.2104637049506,-1.6235275786333336,0.09803889070426969,-16.560036195540384,1.355125047367846e-61,3.1105498070071267e-59
AT2G42160,1369.0769495186053,1.647444897302723,0.0995009451079397,16.557077880170453,1.4234116315273492e-61,3.1105498070071267e-59
AT2G42170,1369.0769495186053,1.647444897302723,0.0995009451079397,16.557077880170453,1.4234116315273492e-61,3.1105498070071267e-59
AT4G12110,855.1057265827376,3.2306105056165526,0.2073269350811703,15.58220355860535,9.618116581911777e-55,2.0450195445918906e-52
AT5G39000,2582.758495727278,-1.0320069144536057,0.06790271887911968,-15.198315052609056,3.6283404365177355e-52,7.319013901047442e-50
AT5G39010,2582.758495727278,-1.0320069144536057,0.06790271887911968,-15.198315052609056,3.6283404365177355e-52,7.319013901047442e-50
AT3G24130,11561.889918114517,0.5056844526810779,0.03357642827096158,15.060698195776135,2.9366915072395945e-51,5.372779555221835e-49
AT3G24140,11561.889918114517,0.5056844526810779,0.03357642827096158,15.060698195776135,2.9366915072395945e-51,5.372779555221835e-49
AT3G24150,11561.889918114517,0.5056844526810779,0.03357642827096158,15.060698195776135,2.9366915072395945e-51,5.372779555221835e-49
AT3G04625,11561.889918114517,0.5056844526810779,0.03357642827096158,15.060698195776135,2.9366915072395945e-51,5.372779555221835e-49
AT1G56345,3889.724974044918,1.2010205206386906,0.08038529729273565,14.94079839333039,1.7881985626363486e-50,2.99314001962982e-48
AT1G56350,3889.724974044918,1.2010205206386906,0.08038529729273565,14.94079839333039,1.7881985626363486e-50,2.99314001962982e-48
AT1G56360,3889.724974044918,1.2010205206386906,0.08038529729273565,14.94079839333039,1.7881985626363486e-50,2.99314001962982e-48
AT1G56380,3889.724974044918,1.2010205206386906,0.08038529729273565,14.94079839333039,1.7881985626363486e-50,2.99314001962982e-48
AT5G40260,5058.151036826108,0.9416751201867493,0.06376399002136168,14.768133547967702,2.35134744517758e-49,3.7751123165738815e-47
AT5G40270,5058.151036826108,0.9416751201867493,0.06376399002136168,14.768133547967702,2.35134744517758e-49,3.7751123165738815e-47
AT4G18250,2370.9276640663634,-1.0531120177065392,0.07143728773528434,-14.74176933492935,3.475582124776535e-49,5.361255799140588e-47
AT4G18253,2370.9276640663634,-1.0531120177065392,0.07143728773528434,-14.74176933492935,3.475582124776535e-49,5.361255799140588e-47
AT3G23610,770.8503516963658,2.328305169904356,0.15799657594280997,14.736428027067706,3.761610442780524e-49,5.690882567952766e-47
AT4G09275,14203.871746420751,0.44817324539351,0.031058109317522745,14.430152228894826,3.343423759251536e-47,4.458087239666412e-45
AT4G09285,14203.871746420751,0.44817324539351,0.031058109317522745,14.430152228894826,3.343423759251536e-47,4.458087239666412e-45
AT4G36250,14203.871746420751,0.44817324539351,0.031058109317522745,14.430152228894826,3.343423759251536e-47,4.458087239666412e-45
AT4G36260,14203.871746420751,0.44817324539351,0.031058109317522745,14.430152228894826,3.343423759251536e-47,4.458087239666412e-45
