gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AT5G04360,12897.307361375004,1.2471042444107818,0.04582242991908666,27.21602164295785,4.197589422059258e-163,5.184022936243184e-160
AT5G04370,12897.307361375004,1.2471042444107818,0.04582242991908666,27.21602164295785,4.197589422059258e-163,5.184022936243184e-160
AT5G04380,12897.307361375004,1.2471042444107818,0.04582242991908666,27.21602164295785,4.197589422059258e-163,5.184022936243184e-160
AT5G00950,12897.307361375004,1.2471042444107818,0.04582242991908666,27.21602164295785,4.197589422059258e-163,5.184022936243184e-160
AT5G00955,12897.307361375004,1.2471042444107818,0.04582242991908666,27.21602164295785,4.197589422059258e-163,5.184022936243184e-160
AT5G00960,12897.307361375004,1.2471042444107818,0.04582242991908666,27.21602164295785,4.197589422059258e-163,5.184022936243184e-160
AT5G04347,12897.307361375004,1.2471042444107818,0.04582242991908666,27.21602164295785,4.197589422059258e-163,5.184022936243184e-160
AT5G04350,12897.307361375004,1.2471042444107818,0.04582242991908666,27.21602164295785,4.197589422059258e-163,5.184022936243184e-160
AT4G31970,7272.840928439659,1.0340777800692873,0.046254677737666144,22.35617737808205,1.0514202044665043e-110,8.656693016774219e-108
AT4G31980,7272.840928439659,1.0340777800692873,0.046254677737666144,22.35617737808205,1.0514202044665043e-110,8.656693016774219e-108
AT4G08615,7272.840928439659,1.0340777800692873,0.046254677737666144,22.35617737808205,1.0514202044665043e-110,8.656693016774219e-108
AT4G08625,7272.840928439659,1.0340777800692873,0.046254677737666144,22.35617737808205,1.0514202044665043e-110,8.656693016774219e-108
AT4G00250,2243.693404997072,-1.8942765435388809,0.09157703119188816,-20.685061733107098,4.721693833448652e-95,3.332166791033763e-92
AT4G00260,2243.693404997072,-1.8942765435388809,0.09157703119188816,-20.685061733107098,4.721693833448652e-95,3.332166791033763e-92
AT3G06820,786.0357526387749,3.2200178337855068,0.16110269332063507,19.98736189578692,7.094900528855027e-89,4.381101076567979e-86
AT3G06830,786.0357526387749,3.2200178337855068,0.16110269332063507,19.98736189578692,7.094900528855027e-89,4.381101076567979e-86
AT4G09125,7450.4765390037155,-0.8425563451050878,0.0422543481450177,-19.940109884393884,1.8266305413590811e-88,8.203231703921691e-86
AT4G35160,7450.4765390037155,-0.8425563451050878,0.0422543481450177,-19.940109884393884,1.8266305413590811e-88,8.203231703921691e-86
AT4G35165,7450.4765390037155,-0.8425563451050878,0.0422543481450177,-19.940109884393884,1.8266305413590811e-88,8.203231703921691e-86
AT4G35170,7450.4765390037155,-0.8425563451050878,0.0422543481450177,-19.940109884393884,1.8266305413590811e-88,8.203231703921691e-86
AT4G35180,7450.4765390037155,-0.8425563451050878,0.0422543481450177,-19.940109884393884,1.8266305413590811e-88,8.203231703921691e-86
AT4G09115,7450.4765390037155,-0.8425563451050878,0.0422543481450177,-19.940109884393884,1.8266305413590811e-88,8.203231703921691e-86
AT1G68260,7252.455129757157,0.9279128090762514,0.04683277188061618,19.813322419643267,2.2849707320350662e-87,9.030204333002581e-85
AT1G68270,7252.455129757157,0.9279128090762514,0.04683277188061618,19.813322419643267,2.2849707320350662e-87,9.030204333002581e-85
AT1G68280,7252.455129757157,0.9279128090762514,0.04683277188061618,19.813322419643267,2.2849707320350662e-87,9.030204333002581e-85
AT5G37460,4133.3757293817625,1.383990612065676,0.07054029118813097,19.619859639855648,1.0464170046730232e-85,3.6923571450605244e-83
AT5G37470,4133.3757293817625,1.383990612065676,0.07054029118813097,19.619859639855648,1.0464170046730232e-85,3.6923571450605244e-83
AT5G05485,4133.3757293817625,1.383990612065676,0.07054029118813097,19.619859639855648,1.0464170046730232e-85,3.6923571450605244e-83
AT5G03050,1800.0623822643092,1.7918930069614218,0.09228374500513521,19.41721163203455,5.520717567768149e-84,1.7595061151467519e-81
AT5G03060,1800.0623822643092,1.7918930069614218,0.09228374500513521,19.41721163203455,5.520717567768149e-84,1.7595061151467519e-81
AT5G03070,1800.0623822643092,1.7918930069614218,0.09228374500513521,19.41721163203455,5.520717567768149e-84,1.7595061151467519e-81
AT3G20870,6964.386589085272,0.8161485458322448,0.045160298648454986,18.072257497353082,5.2712007586035274e-73,1.5781655604546317e-70
AT3G20880,6964.386589085272,0.8161485458322448,0.045160298648454986,18.072257497353082,5.2712007586035274e-73,1.5781655604546317e-70
AT1G01990,711.0496267408294,3.7972803189211426,0.21812462100600521,17.408765234331796,7.079440047425981e-68,2.05720199025202e-65
AT1G68340,527.3235336240147,3.619030071906732,0.21441356159179992,16.878736797426246,6.451045334836401e-64,1.8210379402338183e-61
AT2G42160,1372.3621481768282,1.6592799001010945,0.09871046710239759,16.809563856889014,2.0769380142277415e-63,5.5459858325865096e-61
AT2G42170,1372.3621481768282,1.6592799001010945,0.09871046710239759,16.809563856889014,2.0769380142277415e-63,5.5459858325865096e-61
AT4G12110,858.2730151871351,3.244906674415222,0.20243236121699112,16.0295846716768,7.941172427613082e-58,2.0647048311794012e-55
AT1G69310,1747.392111186565,-1.6114587828906766,0.10121404598527571,-15.92129597432659,4.5093896854087546e-57,1.1423787203035512e-54
AT1G56345,3896.8765838530376,1.2138472509740594,0.07697404555482894,15.76956547138257,5.039530039642135e-56,1.1579199253875418e-53
AT1G56350,3896.8765838530376,1.2138472509740594,0.07697404555482894,15.76956547138257,5.039530039642135e-56,1.1579199253875418e-53
AT1G56360,3896.8765838530376,1.2138472509740594,0.07697404555482894,15.76956547138257,5.039530039642135e-56,1.1579199253875418e-53
