gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ip
AT3G06360,2152.623212387667,-0.27921246311848497,0.08383306838566386,-3.3305766864455193,8.666628791257908e-4,0.0025251044664591,Non-UBP5 targets
AT3G06370,2152.623212387667,-0.27921246311848497,0.08383306838566386,-3.3305766864455193,8.666628791257908e-4,0.0025251044664591,UBP5 targets
AT1G47570,166.4003597506096,0.977688532909082,0.29364429138793785,3.329499539350632,8.700220811890816e-4,0.00253414450535027,UBP5 targets
AT5G03510,429.91926539783975,-0.7575723184265859,0.22784815173138148,-3.3248999944476862,8.845025537695512e-4,0.00257556299181938,Non-UBP5 targets
AT3G10190,286.2790301337936,-0.7225951358028853,0.21734923570428713,-3.324580983509906,8.855151164456158e-4,0.00257775172377215,Non-UBP5 targets
AT4G06440,2885.354971421189,0.7274295549361265,0.21888771791534703,3.323300009082527,8.895918475264756e-4,0.00258201159035299,Non-UBP5 targets
AT4G06460,2885.354971421189,0.7274295549361265,0.21888771791534703,3.323300009082527,8.895918475264756e-4,0.00258201159035299,Non-UBP5 targets
AT4G16920,2885.354971421189,0.7274295549361265,0.21888771791534703,3.323300009082527,8.895918475264756e-4,0.00258201159035299,Non-UBP5 targets
AT4G16930,2885.354971421189,0.7274295549361265,0.21888771791534703,3.323300009082527,8.895918475264756e-4,0.00258201159035299,Non-UBP5 targets
AT4G06445,2885.354971421189,0.7274295549361265,0.21888771791534703,3.323300009082527,8.895918475264756e-4,0.00258201159035299,Non-UBP5 targets
AT4G06450,2885.354971421189,0.7274295549361265,0.21888771791534703,3.323300009082527,8.895918475264756e-4,0.00258201159035299,Non-UBP5 targets
AT4G06455,2885.354971421189,0.7274295549361265,0.21888771791534703,3.323300009082527,8.895918475264756e-4,0.00258201159035299,Non-UBP5 targets
AT1G23037,847.9616422518836,-0.394995013561019,0.11887017970647754,-3.32291088089854,8.908336980472328e-4,0.00258421360046406,Non-UBP5 targets
AT5G15140,2710.2421976909955,-0.24025425665643171,0.07230261944577503,-3.3228983748868988,8.90873635949455e-4,0.00258421360046406,Non-UBP5 targets
AT2G07960,2641.556638793297,0.2812745742569051,0.0846609487334353,3.322365015569697,8.925784625643426e-4,0.00258839894632688,Non-UBP5 targets
AT1G68810,16488.96618165033,-0.12673011235960532,0.03815125399210775,-3.321781045147864,8.944485300418463e-4,0.00259078026291804,Non-UBP5 targets
AT1G09013,16488.96618165033,-0.12673011235960532,0.03815125399210775,-3.321781045147864,8.944485300418463e-4,0.00259078026291804,Non-UBP5 targets
AT1G09825,16488.96618165033,-0.12673011235960532,0.03815125399210775,-3.321781045147864,8.944485300418463e-4,0.00259078026291804,Non-UBP5 targets
AT1G68800,16488.96618165033,-0.12673011235960532,0.03815125399210775,-3.321781045147864,8.944485300418463e-4,0.00259078026291804,Non-UBP5 targets
AT3G02493,924.60823248652,0.39016791068937295,0.11746462136169554,3.321578073179779,8.950993638209285e-4,0.00259190554353774,Non-UBP5 targets
AT5G24950,1366.7286273085815,0.3075398712019661,0.09260079794558836,3.32113629714805,8.96517445447909e-4,0.00259525120451958,Non-UBP5 targets
AT4G18670,4132.026894512168,-0.18316110045745723,0.05517183432991678,-3.319829813201237,9.007233959055944e-4,0.00260437434929683,Non-UBP5 targets
AT4G18680,4132.026894512168,-0.18316110045745723,0.05517183432991678,-3.319829813201237,9.007233959055944e-4,0.00260437434929683,Non-UBP5 targets
AT4G18690,4132.026894512168,-0.18316110045745723,0.05517183432991678,-3.319829813201237,9.007233959055944e-4,0.00260437434929683,Non-UBP5 targets
AT4G18692,4132.026894512168,-0.18316110045745723,0.05517183432991678,-3.319829813201237,9.007233959055944e-4,0.00260437434929683,Non-UBP5 targets
AT5G01305,2614.354442877844,-0.2631239690744829,0.07926947683939198,-3.3193604848383043,9.022387595209036e-4,0.00260722987542162,Non-UBP5 targets
AT5G01310,2614.354442877844,-0.2631239690744829,0.07926947683939198,-3.3193604848383043,9.022387595209036e-4,0.00260722987542162,UBP5 targets
AT5G01805,4223.654210512066,0.1956635633193277,0.05898395157103397,3.317233893420847,9.091347359788588e-4,0.00262562151168404,Non-UBP5 targets
AT5G10660,4223.654210512066,0.1956635633193277,0.05898395157103397,3.317233893420847,9.091347359788588e-4,0.00262562151168404,Non-UBP5 targets
AT1G32975,1647.2560986764024,0.27319622042383485,0.08237076549837101,3.3166648236289324,9.109883464488e-4,0.0026294375877634,Non-UBP5 targets
AT1G32980,1647.2560986764024,0.27319622042383485,0.08237076549837101,3.3166648236289324,9.109883464488e-4,0.0026294375877634,Non-UBP5 targets
AT3G12910,1533.3939896346508,0.3106572666458789,0.09370465895750514,3.315280906008754,9.15510756443086e-4,0.00264152138780374,Non-UBP5 targets
AT1G77640,284.1067993741894,-0.7137634721755107,0.21529896293324743,-3.3152202056672713,9.15709590407675e-4,0.00264152138780374,Non-UBP5 targets
AT1G32170,832.9032255630759,0.3991032430356444,0.12041202451977771,3.3144799668250036,9.181375863990602e-4,0.00264775229235922,Non-UBP5 targets
AT3G15370,1111.635604746043,-0.3549848930783999,0.10711178724495876,-3.3141533925353057,9.192106509503632e-4,0.00265007330942211,Non-UBP5 targets
AT5G42230,1405.1764399574283,0.4371792654373048,0.13197827409105709,3.312509338739173,9.246303901689432e-4,0.00266436455525262,Non-UBP5 targets
AT3G01190,1568.5240315659184,-0.3125148976433104,0.09434683803798916,-3.3124045717088575,9.2497676361503e-4,0.00266436455525262,Non-UBP5 targets
AT3G28420,280.4735234395629,-0.8355284369292,0.25234314766691635,-3.3110803469570205,9.293651991412168e-4,0.00267622505611052,Non-UBP5 targets
AT1G09090,2233.566623203774,0.24126524539839383,0.0728757334498642,3.3106390011755473,9.308320847072872e-4,0.00267966812264219,Non-UBP5 targets
AT4G37060,943.9873564079844,-0.3751340487873505,0.1133277079333264,-3.3101706160690334,9.323911860214842e-4,0.00268337457555848,Non-UBP5 targets
AT2G28210,4663.0276904056955,0.1869119182885419,0.05647757067441117,3.3094893434081056,9.346632398703344e-4,0.00268913011354656,Non-UBP5 targets
AT1G02580,5673.545662480251,-0.20573865069894295,0.06231141689595088,-3.301780972859121,9.607305860604712e-4,0.00276171608678424,Non-UBP5 targets
AT1G04127,5673.545662480251,-0.20573865069894295,0.06231141689595088,-3.301780972859121,9.607305860604712e-4,0.00276171608678424,UBP5 targets
