gene_id,H2Aub,H3K27,misregulated
AT3G02400,2.2720008412547785,3.1384657659364557,NA
AT5G52980,1.5887990322148908,NA,NA
AT5G52990,1.5887990322148908,2.997225386807712,NA
AT4G11680,1.384960719285214,NA,NA
AT4G11690,1.384960719285214,NA,NA
AT1G56340,1.555934743883392,NA,NA
AT1G56345,1.555934743883392,1.2010205206386906,NA
AT1G56350,1.555934743883392,1.2010205206386906,NA
AT2G20110,2.146957657089328,NA,NA
AT2G08205,1.7744951468338908,NA,NA
AT2G27470,1.7744951468338908,NA,NA
AT2G27480,1.7744951468338908,2.770893561357679,-1.64391106359463
AT5G51660,2.053813399957952,NA,NA
AT5G00880,1.744448397306651,NA,NA
AT5G02830,1.744448397306651,NA,NA
AT5G02840,1.744448397306651,NA,NA
AT1G76260,1.772817361334216,0.4248339086666332,-3.0984874967977
AT2G35490,1.589652043395648,NA,NA
AT2G35500,1.589652043395648,NA,NA
AT1G03750,1.914607404472422,2.6745335863151345,NA
AT4G05440,1.682899956338571,1.2835017958399615,NA
AT4G05450,1.682899956338571,NA,NA
AT4G03425,-1.5197592798571775,NA,NA
AT4G37840,-1.5197592798571775,NA,NA
AT1G30840,-1.3149654162208535,-0.6508566605510508,NA
AT4G08055,1.6778971620791598,NA,NA
AT4G29130,1.6778971620791598,NA,NA
AT5G48330,2.1348691610232655,NA,NA
AT1G32910,-1.4729331312300444,NA,NA
AT5G38590,2.03736590767646,2.0982650449153897,NA
AT5G41700,1.6893054774587233,NA,NA
AT5G02270,1.8305354847522255,NA,NA
AT5G02280,1.8305354847522255,NA,NA
AT3G61320,1.5550156751050024,2.7689294276925023,NA
AT5G06050,1.6146394618022937,NA,NA
AT1G13900,1.6644001679607916,NA,NA
AT1G13910,1.6644001679607916,NA,NA
AT3G60680,1.982195446850866,NA,NA
AT5G66850,1.2604083663909025,2.471244992935409,-1.77036573217802
AT3G61770,1.47782490302916,NA,NA
AT3G27180,1.998669012317586,NA,NA
AT2G23690,-1.8405959051630143,NA,NA
AT1G09130,1.674314127779529,NA,NA
AT3G09635,1.794423439921342,3.033101844943807,NA
AT3G61360,1.794423439921342,3.033101844943807,NA
AT3G61370,1.794423439921342,NA,NA
AT4G04020,1.4203865722748104,NA,NA
AT1G11591,1.761172642398652,NA,NA
AT1G11592,1.761172642398652,2.348355680943305,NA
AT1G28360,-1.3002844448972537,-0.6661254119371707,NA
AT1G04630,1.3946541086191695,NA,NA
AT1G04635,1.3946541086191695,NA,NA
AT1G04640,1.3946541086191695,NA,NA
AT3G53490,1.9116906690156965,NA,NA
AT5G44500,1.6330969712000054,1.9909922964598743,NA
AT5G17520,1.3338424540818217,NA,NA
AT5G17522,1.3338424540818217,NA,NA
