bins,name,value,rep,type
H2Aub-Col-rep1.cov.RPGConly,71,0.9108005964464316,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,72,0.8930151397537397,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,73,0.8743229837341918,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,74,0.8548222312253195,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,75,0.8363773213370822,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,76,0.8176052566826394,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,77,0.7975323704309444,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,78,0.7777103644434298,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,79,0.7568264749503879,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,80,0.7368161834658754,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,81,0.7174634156711385,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,82,0.6985061525741952,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,83,0.6797904924358149,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,84,0.6633386822880133,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,85,0.6467703007642754,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,86,0.6288600304062169,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,87,0.6130016265555479,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,88,0.5995371249413605,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,89,0.5879932726420778,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,90,0.57840136976664,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,91,0.5701125812507487,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,92,0.5649291053372606,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,93,0.5615145733740474,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,94,0.5597326235197727,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,95,0.5601486515842563,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,96,0.5637777664216731,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,97,0.5699712597463249,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,98,0.5792039870130026,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,99,0.5920952545391647,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,100,0.6083908691988174,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,101,0.6508837707952589,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,102,0.7402099016933892,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,103,0.8448787346869467,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,104,0.9475513942514554,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,105,1.047221944588954,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,106,1.13860456592477,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,107,1.214219241931853,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,108,1.2746245948625627,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,109,1.32308698481783,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,110,1.3625271712390543,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,111,1.3958164878679076,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,112,1.4227042832266183,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,113,1.4392289788764168,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,114,1.450630176252536,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,115,1.4558509014606826,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,116,1.4561983548713444,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,117,1.450534029203647,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,118,1.4410538348871185,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,119,1.4320694387009778,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,120,1.4230759795482704,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,121,1.4104584757838037,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,122,1.3933620523595638,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,123,1.3748097745340335,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,124,1.3619179589933796,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,125,1.347578077407046,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,126,1.3329616171313083,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,127,1.3216234389613415,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,128,1.3092464762279497,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,129,1.2972028541081349,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,130,1.2848507297145548,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,131,1.272513351989224,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,132,1.2626451698516272,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,133,1.2509511968318228,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,134,1.240196584757202,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,135,1.2293153271521782,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,136,1.2211179586144931,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,137,1.210457952268386,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,138,1.1968633400472708,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,139,1.1868939731188948,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,140,1.1769841831065209,rep1,Col
