gene_id,name,value,mis_reg
AT1G01900,H3K27-Col,1.764441079588015,Non-misegulated genes
AT1G01900,H3K27-ubp5,0.9694505848806366,Non-misegulated genes
AT1G01910,H3K27-Col,0.5739859578313253,Non-misegulated genes
AT1G01910,H3K27-ubp5,0.6671213797678275,Non-misegulated genes
AT1G01920,H3K27-Col,0.5948224983818771,Non-misegulated genes
AT1G01920,H3K27-ubp5,0.8341317902494331,Non-misegulated genes
AT1G01930,H3K27-Col,0.524426344017094,Non-misegulated genes
AT1G01930,H3K27-ubp5,0.6957898505564388,Non-misegulated genes
AT1G01940,H3K27-Col,0.5804294837758112,Non-misegulated genes
AT1G01940,H3K27-ubp5,0.8249540021141649,Non-misegulated genes
AT1G01960,H3K27-Col,0.5743945598006645,Non-misegulated genes
AT1G01960,H3K27-ubp5,0.717523887874837,Non-misegulated genes
AT1G01970,H3K27-Col,0.7057280140449438,Non-misegulated genes
AT1G01970,H3K27-ubp5,0.7243119285714286,Non-misegulated genes
AT1G01990,H3K27-Col,0.5219553636363636,Downregulated
AT1G01990,H3K27-ubp5,6.251680127659575,Downregulated
AT1G02000,H3K27-Col,0.5367185292207792,Non-misegulated genes
AT1G02000,H3K27-ubp5,0.8120317833698031,Non-misegulated genes
AT1G02020,H3K27-Col,0.5431576113861386,Non-misegulated genes
AT1G02020,H3K27-ubp5,0.5160572871046228,Non-misegulated genes
AT1G02080,H3K27-Col,0.5658121353517365,Non-misegulated genes
AT1G02080,H3K27-ubp5,0.7093077978723404,Non-misegulated genes
AT1G02090,H3K27-Col,0.5389368165829146,Non-misegulated genes
AT1G02090,H3K27-ubp5,0.6482185042016807,Non-misegulated genes
AT1G02100,H3K27-Col,0.5102688776470589,Non-misegulated genes
AT1G02100,H3K27-ubp5,0.5754083950850661,Non-misegulated genes
AT1G02110,H3K27-Col,0.567945394160584,Non-misegulated genes
AT1G02110,H3K27-ubp5,0.6299636168582375,Non-misegulated genes
AT1G02120,H3K27-Col,0.528561649776453,Non-misegulated genes
AT1G02120,H3K27-ubp5,0.6278261350059737,Non-misegulated genes
AT1G02130,H3K27-Col,0.3926534788135594,Non-misegulated genes
AT1G02130,H3K27-ubp5,0.5820090406976745,Non-misegulated genes
AT1G02140,H3K27-Col,0.4297962485207101,Non-misegulated genes
AT1G02140,H3K27-ubp5,0.4809020292682927,Non-misegulated genes
AT1G02145,H3K27-Col,0.5829271246246246,Non-misegulated genes
AT1G02145,H3K27-ubp5,0.7366820798122066,Non-misegulated genes
AT1G02150,H3K27-Col,0.5370814523076923,Non-misegulated genes
AT1G02150,H3K27-ubp5,0.596831397260274,Non-misegulated genes
AT1G02160,H3K27-Col,0.4674450826446281,Non-misegulated genes
AT1G02160,H3K27-ubp5,0.50932975,Non-misegulated genes
AT1G02170,H3K27-Col,0.507366366013072,Non-misegulated genes
AT1G02170,H3K27-ubp5,0.6166222222222222,Non-misegulated genes
AT1G02180,H3K27-Col,0.532203547368421,Downregulated
AT1G02180,H3K27-ubp5,0.8829768212927757,Downregulated
AT1G02205,H3K27-Col,4.602226833200319,Non-misegulated genes
AT1G02205,H3K27-ubp5,2.7227816756176155,Non-misegulated genes
AT1G02260,H3K27-Col,0.628091181598063,Non-misegulated genes
AT1G02260,H3K27-ubp5,0.6277811602434077,Non-misegulated genes
AT1G02270,H3K27-Col,0.4572835804988662,Non-misegulated genes
AT1G02270,H3K27-ubp5,0.5874542660377359,Non-misegulated genes
AT1G02280,H3K27-Col,0.46644894776119405,Non-misegulated genes
AT1G02280,H3K27-ubp5,0.5982154732394366,Non-misegulated genes
AT1G02300,H3K27-Col,0.5182908876712329,Non-misegulated genes
AT1G02300,H3K27-ubp5,0.953687285229202,Non-misegulated genes
AT1G02305,H3K27-Col,0.4982412398921833,Non-misegulated genes
AT1G02305,H3K27-ubp5,0.5821444331797235,Non-misegulated genes
AT1G02330,H3K27-Col,0.4549992619047619,Non-misegulated genes
AT1G02330,H3K27-ubp5,0.5887695100671141,Non-misegulated genes
AT1G02335,H3K27-Col,4.33848075753012,Non-misegulated genes
AT1G02335,H3K27-ubp5,3.209008629752066,Non-misegulated genes
AT1G02370,H3K27-Col,0.4941525880597014,Non-misegulated genes
AT1G02370,H3K27-ubp5,0.6172787277108434,Non-misegulated genes
AT1G02380,H3K27-Col,0.4231017363013699,Non-misegulated genes
AT1G02380,H3K27-ubp5,0.6374026041131106,Non-misegulated genes
AT1G02410,H3K27-Col,0.3960266818181818,Non-misegulated genes
AT1G02410,H3K27-ubp5,0.5278804072948329,Non-misegulated genes
AT1G02475,H3K27-Col,0.4487719361702128,Non-misegulated genes
AT1G02475,H3K27-ubp5,0.5677468716216216,Non-misegulated genes
AT1G02500,H3K27-Col,0.5034725459940653,Non-misegulated genes
AT1G02500,H3K27-ubp5,0.6811698698347107,Non-misegulated genes
AT1G02520,H3K27-Col,0.6964554362292051,Non-misegulated genes
AT1G02520,H3K27-ubp5,0.8730936661753869,Non-misegulated genes
AT1G02560,H3K27-Col,0.4690854767441861,Non-misegulated genes
AT1G02560,H3K27-ubp5,0.5685279280397022,Non-misegulated genes
