ubp5_targets,cat
AT1G05463,Unchanged
AT1G05520,Hypo-marked
AT1G05570,Hypo-marked
AT1G05670,Hypo-marked
AT1G05687,Unchanged
AT1G05710,Hypo-marked
AT1G05720,De-novo marked
AT1G05730,De-novo marked
AT1G05750,De-novo marked
AT1G05767,Hyper-marked
AT1G05780,Unchanged
AT1G05783,De-novo marked
AT1G05785,De-novo marked
AT1G05790,De-novo marked
AT1G05830,De-novo marked
AT1G05860,De-novo marked
AT1G05870,Unchanged
AT1G05890,De-novo marked
AT1G05900,Unchanged
AT1G05910,Hyper-marked
AT1G05927,Unchanged
AT1G05933,De-novo marked
AT1G05960,Unchanged
AT1G05970,De-novo marked
AT1G05973,De-novo marked
AT1G05980,Unchanged
AT1G05993,Hyper-marked
AT1G05997,Hyper-marked
AT1G06003,De-novo marked
AT1G06017,Hyper-marked
AT1G06050,De-novo marked
AT1G06070,Unchanged
AT1G06110,Hypo-marked
AT1G06130,Unchanged
AT1G06140,Unchanged
AT1G06200,Unchanged
AT1G06207,De-novo marked
AT1G06210,Unchanged
AT1G06220,Unchanged
AT1G06230,Unchanged
AT1G06263,Unchanged
AT1G06267,Unchanged
AT1G06273,Unchanged
AT1G06277,Unchanged
AT1G06287,Unchanged
AT1G06290,Unchanged
AT1G06370,Unchanged
AT1G06380,De-novo marked
AT1G06430,Unchanged
AT1G06450,Unchanged
AT1G06460,De-novo marked
AT1G06470,Unchanged
AT1G06473,Hyper-marked
AT1G06490,Hyper-marked
AT1G06500,Unchanged
AT1G06510,De-novo marked
AT1G06515,De-novo marked
AT1G06530,De-novo marked
AT1G06540,De-novo marked
AT1G06560,Hyper-marked
AT1G06590,De-novo marked
AT1G06613,De-novo marked
AT1G06620,Hyper-marked
AT1G06630,Hyper-marked
AT1G06647,De-novo marked
AT1G06650,Hypo-marked
AT1G06690,De-novo marked
AT1G06693,Unchanged
AT1G06710,Unchanged
AT1G06720,Hyper-marked
AT1G06730,Hyper-marked
AT1G06740,De-novo marked
AT1G06760,De-novo marked
AT1G06770,Hyper-marked
AT1G06780,Hyper-marked
AT1G06790,De-novo marked
AT1G06800,Hypo-marked
AT1G06820,Hyper-marked
AT1G06850,Hyper-marked
AT1G06870,Hyper-marked
AT1G06890,De-novo marked
AT1G06900,De-novo marked
AT1G06910,De-novo marked
AT1G06950,Hyper-marked
AT1G06960,Hypo-marked
AT1G07000,Unchanged
AT1G07010,Unchanged
AT1G07030,Hyper-marked
AT1G07040,Hyper-marked
AT1G07060,De-novo marked
AT1G07070,Hyper-marked
AT1G07080,Hyper-marked
