ubp5_targets,cat
AT1G79880,Hyper-marked
AT1G79890,Hyper-marked
AT1G79920,Hypo-marked
AT1G79930,Hypo-marked
AT1G79940,Unchanged
AT1G79950,De-novo marked
AT1G79970,De-novo marked
AT1G79985,Unchanged
AT1G80000,De-novo marked
AT1G80010,De-novo marked
AT1G80030,De-novo marked
AT1G80040,Hypo-marked
AT1G80060,Hyper-marked
AT1G80070,Hypo-marked
AT1G80110,Unchanged
AT1G80120,Hypo-marked
AT1G80150,Hypo-marked
AT1G80200,Unchanged
AT1G80210,De-novo marked
AT1G80230,Hypo-marked
AT1G80245,Unchanged
AT1G80250,Unchanged
AT1G80260,De-novo marked
AT1G80270,De-novo marked
AT1G80290,De-novo marked
AT1G80300,Unchanged
AT1G80320,Hypo-marked
AT1G80325,Unchanged
AT1G80350,De-novo marked
AT1G80360,De-novo marked
AT1G80380,Unchanged
AT1G80400,Unchanged
AT1G80410,Unchanged
AT1G80420,Unchanged
AT1G80430,Unchanged
AT1G80490,Unchanged
AT1G80500,De-novo marked
AT1G80510,De-novo marked
AT1G80530,Hypo-marked
AT1G80550,Hyper-marked
AT1G80555,Hyper-marked
AT1G80560,Hyper-marked
AT1G80600,De-novo marked
AT1G80630,De-novo marked
AT1G80640,De-novo marked
AT1G80670,De-novo marked
AT1G80680,De-novo marked
AT1G80700,De-novo marked
AT1G80710,De-novo marked
AT1G80720,De-novo marked
AT1G80750,De-novo marked
AT1G80770,Hyper-marked
AT1G80780,De-novo marked
AT1G80810,De-novo marked
AT1G80850,Unchanged
AT1G80860,Unchanged
AT1G80870,Hyper-marked
AT1G80890,Unchanged
AT1G80900,Unchanged
AT1G80910,Unchanged
AT1G80930,Unchanged
AT1G80950,Hyper-marked
AT1G80960,Hyper-marked
AT2G00360,Unchanged
AT2G00550,Unchanged
AT2G00680,Hyper-marked
AT2G00740,Unchanged
AT2G00860,Hypo-marked
AT2G00890,Hyper-marked
AT2G01026,Unchanged
AT2G01029,Unchanged
AT2G01034,Unchanged
AT2G01037,Unchanged
AT2G01120,Hyper-marked
AT2G01210,Unchanged
AT2G01220,De-novo marked
AT2G01260,De-novo marked
AT2G01270,De-novo marked
AT2G01290,Unchanged
AT2G01330,Hyper-marked
AT2G01350,De-novo marked
AT2G01390,Unchanged
AT2G01410,Unchanged
AT2G01460,De-novo marked
AT2G01600,Hypo-marked
AT2G01640,Unchanged
AT2G01690,De-novo marked
AT2G01720,De-novo marked
AT2G01730,De-novo marked
AT2G01735,De-novo marked
AT2G01740,De-novo marked
AT2G01750,Unchanged
AT2G01820,Unchanged
AT2G01905,Unchanged
AT2G01950,Hypo-marked
AT2G01970,Unchanged
AT2G01980,De-novo marked
AT2G02040,De-novo marked
AT2G02050,De-novo marked
AT2G02090,De-novo marked
AT2G02148,De-novo marked
AT2G02150,De-novo marked
AT2G02160,Unchanged
AT2G02180,De-novo marked
AT2G02220,Hyper-marked
AT2G02230,De-novo marked
AT2G02360,Hyper-marked
AT2G02390,De-novo marked
AT2G02400,Unchanged
AT2G02470,De-novo marked
AT2G02480,Hyper-marked
AT2G02570,Unchanged
AT2G02590,De-novo marked
AT2G02710,De-novo marked
AT2G02730,De-novo marked
AT2G02765,Hypo-marked
AT2G02790,De-novo marked
AT2G02810,De-novo marked
AT2G02870,Unchanged
AT2G02880,De-novo marked
AT2G02960,De-novo marked
AT2G02970,De-novo marked
AT2G02980,De-novo marked
AT2G03010,Hypo-marked
AT2G03050,De-novo marked
AT2G03070,De-novo marked
AT2G03120,Unchanged
AT2G03140,De-novo marked
AT2G03150,De-novo marked
AT2G03270,Hyper-marked
AT2G03291,Unchanged
AT2G03350,De-novo marked
AT2G03430,De-novo marked
AT2G03450,De-novo marked
AT2G03470,Unchanged
AT2G03480,De-novo marked
AT2G03510,De-novo marked
AT2G03620,Unchanged
AT2G03640,Unchanged
AT2G03667,De-novo marked
AT2G03670,De-novo marked
AT2G03680,Unchanged
AT2G03730,Unchanged
AT2G03820,Unchanged
AT2G03870,Unchanged
AT2G03925,Unchanged
AT2G03975,Unchanged
AT2G04140,Unchanged
AT2G04230,Hyper-marked
AT2G04235,Hyper-marked
AT2G04240,De-novo marked
AT2G04350,De-novo marked
AT2G04360,De-novo marked
AT2G04390,Unchanged
AT2G04400,De-novo marked
AT2G04490,Unchanged
AT2G04520,Unchanged
AT2G04530,Hyper-marked
AT2G04535,Unchanged
AT2G04545,Unchanged
AT2G04550,Hyper-marked
AT2G04630,De-novo marked
AT2G04650,De-novo marked
AT2G04660,De-novo marked
AT2G04690,Unchanged
AT2G04740,De-novo marked
AT2G04880,Unchanged
AT2G04940,De-novo marked
AT2G04955,De-novo marked
AT2G04965,De-novo marked
AT2G04980,Unchanged
AT2G05050,Unchanged
AT2G05120,De-novo marked
AT2G05170,De-novo marked
AT2G05185,Hyper-marked
AT2G05230,Unchanged
AT2G05250,Unchanged
AT2G05260,De-novo marked
AT2G05290,Unchanged
AT2G05590,De-novo marked
AT2G05630,De-novo marked
AT2G05640,Unchanged
AT2G05753,Unchanged
AT2G05755,De-novo marked
AT2G05765,De-novo marked
AT2G05810,De-novo marked
AT2G05812,De-novo marked
AT2G05895,Hyper-marked
AT2G06000,Unchanged
AT2G06005,De-novo marked
AT2G06040,De-novo marked
AT2G06150,Unchanged
AT2G06210,Unchanged
AT2G06225,Hyper-marked
AT2G06250,Unchanged
AT2G06365,De-novo marked
AT2G06460,Unchanged
AT2G06465,De-novo marked
AT2G06470,Unchanged
AT2G06510,De-novo marked
AT2G06605,De-novo marked
AT2G06967,Unchanged
AT2G06995,De-novo marked
AT2G07010,Unchanged
AT2G07170,De-novo marked
AT2G07175,De-novo marked
AT2G07265,De-novo marked
AT2G07335,De-novo marked
AT2G07340,De-novo marked
AT2G07475,De-novo marked
AT2G07515,Unchanged
AT2G07575,Unchanged
AT2G07585,De-novo marked
AT2G07595,De-novo marked
AT2G07660,Unchanged
AT2G07845,De-novo marked
AT2G07875,Unchanged
AT2G08000,Hyper-marked
AT2G08020,De-novo marked
AT2G08025,Unchanged
AT2G08145,Hyper-marked
AT2G08180,De-novo marked
AT2G08205,De-novo marked
AT2G08235,Hypo-marked
AT2G08275,De-novo marked
AT2G08340,Unchanged
AT2G08350,Unchanged
AT2G08435,Unchanged
AT2G08465,Unchanged
AT2G08525,De-novo marked
AT2G08640,Unchanged
AT2G08725,Unchanged
AT2G08735,Hyper-marked
AT2G08750,Unchanged
AT2G08865,Unchanged
AT2G08900,Unchanged
AT2G08905,Unchanged
AT2G08910,Unchanged
AT2G08915,Hypo-marked
AT2G09000,De-novo marked
AT2G09025,De-novo marked
AT2G09055,Unchanged
AT2G09190,Unchanged
AT2G09225,Hypo-marked
AT2G09235,Hyper-marked
AT2G09300,De-novo marked
AT2G09345,Hyper-marked
AT2G09370,De-novo marked
AT2G09435,De-novo marked
AT2G09440,Unchanged
AT2G09485,Unchanged
AT2G09490,Unchanged
AT2G09495,Hyper-marked
AT2G09500,Unchanged
AT2G09510,De-novo marked
AT2G09640,Unchanged
AT2G09650,De-novo marked
AT2G09665,Unchanged
AT2G09675,Unchanged
AT2G09680,Unchanged
AT2G09685,De-novo marked
AT2G09690,De-novo marked
AT2G09695,De-novo marked
AT2G09700,De-novo marked
AT2G09740,Hypo-marked
AT2G09795,Hyper-marked
AT2G09800,Unchanged
AT2G09805,Unchanged
AT2G09860,Unchanged
AT2G09885,Hypo-marked
AT2G09945,Unchanged
AT2G10210,Unchanged
AT2G10280,Unchanged
AT2G10820,Unchanged
AT2G10950,De-novo marked
AT2G11035,Hyper-marked
AT2G11140,Unchanged
AT2G11520,Unchanged
AT2G11880,Unchanged
AT2G12170,Unchanged
AT2G12260,Unchanged
AT2G12300,Unchanged
AT2G12490,Unchanged
AT2G12610,Unchanged
AT2G12780,Unchanged
AT2G12800,Unchanged
AT2G12810,Unchanged
AT2G13100,De-novo marked
AT2G13130,Unchanged
AT2G13290,De-novo marked
AT2G13370,Unchanged
AT2G13420,Unchanged
AT2G13540,Unchanged
AT2G13650,De-novo marked
AT2G13660,Unchanged
AT2G13665,Unchanged
AT2G13690,Hyper-marked
AT2G13960,Hypo-marked
AT2G13975,Unchanged
AT2G14050,De-novo marked
AT2G14090,Unchanged
AT2G14110,De-novo marked
AT2G14120,Unchanged
AT2G14220,Unchanged
AT2G14255,De-novo marked
AT2G14410,Unchanged
AT2G14520,Unchanged
AT2G14650,Unchanged
AT2G14680,Unchanged
AT2G14720,De-novo marked
AT2G14740,Hyper-marked
AT2G14750,De-novo marked
AT2G14775,Hyper-marked
AT2G14835,De-novo marked
AT2G14850,Unchanged
AT2G14930,Unchanged
AT2G15000,De-novo marked
AT2G15040,Unchanged
AT2G15140,Unchanged
AT2G15240,Unchanged
AT2G15270,Unchanged
AT2G15280,De-novo marked
AT2G15290,De-novo marked
AT2G15430,De-novo marked
AT2G15530,De-novo marked
AT2G15560,De-novo marked
AT2G15690,De-novo marked
AT2G15730,De-novo marked
AT2G15860,Hyper-marked
AT2G15900,De-novo marked
AT2G16070,Unchanged
AT2G16090,De-novo marked
AT2G16250,Unchanged
AT2G16390,De-novo marked
AT2G16405,De-novo marked
AT2G16460,De-novo marked
AT2G16485,De-novo marked
AT2G16510,De-novo marked
AT2G16530,De-novo marked
AT2G16710,De-novo marked
AT2G16770,De-novo marked
AT2G16800,Unchanged
AT2G16860,Unchanged
AT2G16880,Unchanged
AT2G17030,De-novo marked
AT2G17110,De-novo marked
AT2G17190,De-novo marked
AT2G17200,Unchanged
AT2G17250,De-novo marked
AT2G17265,Hyper-marked
AT2G17270,Hyper-marked
AT2G17320,De-novo marked
AT2G17360,Unchanged
AT2G17370,De-novo marked
AT2G17380,De-novo marked
AT2G17390,Unchanged
AT2G17410,Unchanged
AT2G17540,De-novo marked
AT2G17550,Unchanged
AT2G17560,De-novo marked
AT2G17570,De-novo marked
AT2G17630,Hyper-marked
AT2G17650,Hyper-marked
AT2G17670,Hyper-marked
AT2G17695,Hyper-marked
AT2G17700,De-novo marked
AT2G17760,De-novo marked
AT2G17787,De-novo marked
AT2G17790,De-novo marked
AT2G17800,De-novo marked
AT2G17830,Hyper-marked
AT2G17840,De-novo marked
AT2G17870,Unchanged
AT2G17930,Hyper-marked
AT2G17970,Hyper-marked
AT2G17975,Hyper-marked
AT2G18030,De-novo marked
AT2G18090,Unchanged
AT2G18170,De-novo marked
AT2G18220,De-novo marked
AT2G18230,De-novo marked
AT2G18240,Unchanged
AT2G18245,De-novo marked
AT2G18250,De-novo marked
AT2G18260,Unchanged
AT2G18330,De-novo marked
AT2G18350,Hypo-marked
AT2G18410,De-novo marked
AT2G18465,Unchanged
AT2G18510,Unchanged
AT2G18740,Unchanged
AT2G18750,Unchanged
AT2G18760,Unchanged
AT2G18770,De-novo marked
AT2G18780,Unchanged
AT2G18790,Hyper-marked
AT2G18840,De-novo marked
AT2G18876,De-novo marked
AT2G18900,De-novo marked
AT2G18915,Hyper-marked
AT2G18917,Hyper-marked
AT2G18938,De-novo marked
AT2G18940,Unchanged
AT2G19080,Unchanged
AT2G19180,De-novo marked
AT2G19240,Hyper-marked
AT2G19250,Unchanged
AT2G19270,Hyper-marked
AT2G19310,Hypo-marked
AT2G19340,De-novo marked
AT2G19350,De-novo marked
AT2G19380,De-novo marked
AT2G19385,Unchanged
AT2G19450,Hyper-marked
AT2G19470,De-novo marked
AT2G19480,Unchanged
AT2G19490,De-novo marked
AT2G19530,De-novo marked
AT2G19540,De-novo marked
AT2G19560,De-novo marked
AT2G19570,Hyper-marked
AT2G19572,Hyper-marked
AT2G19600,Hyper-marked
AT2G19670,De-novo marked
AT2G19680,De-novo marked
AT2G19710,Unchanged
AT2G19720,De-novo marked
AT2G19740,Unchanged
AT2G19750,De-novo marked
AT2G19760,De-novo marked
AT2G19780,Unchanged
AT2G19790,Unchanged
AT2G19830,Unchanged
AT2G19860,Hyper-marked
AT2G19870,Unchanged
AT2G19880,De-novo marked
AT2G19930,Hyper-marked
AT2G19940,Hyper-marked
AT2G19950,De-novo marked
AT2G20000,Hyper-marked
AT2G20010,De-novo marked
AT2G20050,De-novo marked
AT2G20060,De-novo marked
AT2G20110,De-novo marked
AT2G20120,De-novo marked
AT2G20130,Hyper-marked
AT2G20210,De-novo marked
AT2G20230,De-novo marked
AT2G20240,De-novo marked
AT2G20250,Hyper-marked
AT2G20270,Hyper-marked
AT2G20280,Hyper-marked
AT2G20300,Hypo-marked
AT2G20310,De-novo marked
AT2G20320,Unchanged
AT2G20330,Unchanged
AT2G20340,De-novo marked
AT2G20370,Unchanged
AT2G20390,De-novo marked
AT2G20400,De-novo marked
AT2G20410,Unchanged
AT2G20420,De-novo marked
AT2G20480,De-novo marked
AT2G20495,Unchanged
AT2G20530,Hypo-marked
AT2G20580,Unchanged
AT2G20585,Hyper-marked
AT2G20610,Hyper-marked
AT2G20635,Unchanged
AT2G20680,Hyper-marked
AT2G20720,De-novo marked
AT2G20790,De-novo marked
AT2G20820,Unchanged
AT2G20840,De-novo marked
AT2G20890,Hypo-marked
AT2G20940,Unchanged
AT2G20980,De-novo marked
AT2G20990,De-novo marked
AT2G21120,Unchanged
AT2G21130,Unchanged
AT2G21150,De-novo marked
AT2G21230,Unchanged
AT2G21240,Unchanged
AT2G21250,Hyper-marked
AT2G21260,Hyper-marked
AT2G21270,Hyper-marked
AT2G21300,Hyper-marked
AT2G21330,Hypo-marked
AT2G21380,Hyper-marked
AT2G21385,De-novo marked
AT2G21440,Unchanged
AT2G21470,Unchanged
AT2G21595,Unchanged
AT2G21600,Unchanged
AT2G21620,Unchanged
AT2G21650,Unchanged
AT2G21710,Unchanged
AT2G21800,Unchanged
AT2G21860,Hyper-marked
AT2G21870,Unchanged
AT2G21940,De-novo marked
AT2G21950,De-novo marked
AT2G21960,De-novo marked
AT2G21970,Hypo-marked
AT2G22090,Unchanged
AT2G22100,De-novo marked
AT2G22140,Hyper-marked
AT2G22240,Hyper-marked
AT2G22260,De-novo marked
AT2G22270,De-novo marked
AT2G22340,De-novo marked
AT2G22345,Unchanged
AT2G22360,De-novo marked
AT2G22390,Unchanged
AT2G22410,De-novo marked
AT2G22425,Unchanged
AT2G22450,Unchanged
AT2G22475,De-novo marked
AT2G22480,De-novo marked
AT2G22482,De-novo marked
AT2G22490,De-novo marked
AT2G22500,Unchanged
AT2G22600,Hyper-marked
AT2G22610,Hyper-marked
AT2G22640,De-novo marked
AT2G22660,Hyper-marked
AT2G22670,De-novo marked
AT2G22680,Unchanged
AT2G22690,De-novo marked
AT2G22740,De-novo marked
AT2G22780,De-novo marked
AT2G22795,Unchanged
AT2G22830,Unchanged
AT2G22870,De-novo marked
AT2G22900,Unchanged
AT2G22910,Hyper-marked
AT2G22980,Unchanged
AT2G23070,Unchanged
AT2G23080,Unchanged
AT2G23090,Unchanged
AT2G23140,De-novo marked
AT2G23200,Hypo-marked
AT2G23210,Hypo-marked
AT2G23300,Unchanged
AT2G23330,Unchanged
AT2G23350,De-novo marked
AT2G23380,De-novo marked
AT2G23390,Hyper-marked
AT2G23420,De-novo marked
AT2G23450,De-novo marked
AT2G23460,De-novo marked
AT2G23780,Unchanged
AT2G23790,Hyper-marked
AT2G23840,Hyper-marked
AT2G23890,De-novo marked
AT2G23910,De-novo marked
AT2G23940,De-novo marked
AT2G23980,Hyper-marked
AT2G23985,Hyper-marked
AT2G23987,Hyper-marked
AT2G24020,Hyper-marked
AT2G24030,Hyper-marked
AT2G24040,Unchanged
AT2G24050,Unchanged
AT2G24090,De-novo marked
AT2G24160,Unchanged
AT2G24170,Hyper-marked
AT2G24200,De-novo marked
AT2G24240,Hyper-marked
AT2G24250,Unchanged
AT2G24290,De-novo marked
AT2G24310,Hyper-marked
AT2G24350,De-novo marked
AT2G24360,Unchanged
AT2G24390,Unchanged
AT2G24420,Hyper-marked
AT2G24490,Unchanged
AT2G24500,Hyper-marked
AT2G24530,De-novo marked
AT2G24590,Unchanged
AT2G24660,Unchanged
AT2G24690,De-novo marked
AT2G24755,De-novo marked
AT2G24760,Unchanged
AT2G24860,De-novo marked
AT2G24890,Unchanged
AT2G25010,Hyper-marked
AT2G25050,De-novo marked
AT2G25055,De-novo marked
AT2G25080,Hyper-marked
AT2G25100,De-novo marked
AT2G25110,Hyper-marked
AT2G25140,Hyper-marked
AT2G25169,Hypo-marked
AT2G25170,Hypo-marked
AT2G25280,De-novo marked
AT2G25290,De-novo marked
AT2G25300,De-novo marked
AT2G25355,De-novo marked
AT2G25420,De-novo marked
AT2G25460,Unchanged
AT2G25530,De-novo marked
AT2G25560,De-novo marked
AT2G25580,Hyper-marked
AT2G25590,Unchanged
AT2G25610,Unchanged
AT2G25620,De-novo marked
AT2G25640,Hyper-marked
AT2G25650,Hyper-marked
AT2G25660,Hyper-marked
AT2G25670,Unchanged
AT2G25710,De-novo marked
AT2G25737,De-novo marked
AT2G25760,De-novo marked
AT2G25850,Hyper-marked
AT2G25880,Hypo-marked
AT2G25910,De-novo marked
AT2G25920,De-novo marked
AT2G25930,Unchanged
AT2G25950,De-novo marked
AT2G25964,De-novo marked
AT2G25970,De-novo marked
AT2G26030,Unchanged
AT2G26060,Hyper-marked
AT2G26080,Hyper-marked
AT2G26140,Hyper-marked
AT2G26270,De-novo marked
AT2G26310,Unchanged
AT2G26340,De-novo marked
AT2G26430,Unchanged
AT2G26460,Unchanged
AT2G26515,Hypo-marked
AT2G26540,De-novo marked
AT2G26600,De-novo marked
AT2G26660,De-novo marked
AT2G26670,De-novo marked
AT2G26770,Unchanged
AT2G26780,De-novo marked
AT2G26790,De-novo marked
AT2G26800,De-novo marked
AT2G26830,Unchanged
AT2G26840,Hyper-marked
AT2G26890,De-novo marked
AT2G26910,Hyper-marked
AT2G26920,Unchanged
AT2G26990,Hypo-marked
AT2G27030,De-novo marked
AT2G27090,Unchanged
AT2G27100,De-novo marked
AT2G27110,Hyper-marked
AT2G27170,Unchanged
AT2G27200,De-novo marked
AT2G27210,De-novo marked
AT2G27229,Hyper-marked
AT2G27285,De-novo marked
AT2G27290,Unchanged
AT2G27330,Unchanged
AT2G27340,Unchanged
AT2G27350,Unchanged
AT2G27450,De-novo marked
AT2G27460,De-novo marked
AT2G27470,De-novo marked
AT2G27480,De-novo marked
AT2G27490,De-novo marked
AT2G27600,Unchanged
AT2G27680,De-novo marked
AT2G27690,Unchanged
AT2G27710,Unchanged
AT2G27760,De-novo marked
AT2G27775,De-novo marked
AT2G27800,De-novo marked
AT2G27810,De-novo marked
AT2G27950,De-novo marked
AT2G27960,De-novo marked
AT2G27970,De-novo marked
AT2G27980,De-novo marked
AT2G28000,De-novo marked
AT2G28060,Unchanged
AT2G28100,Hypo-marked
AT2G28130,Unchanged
AT2G28230,De-novo marked
AT2G28240,De-novo marked
AT2G28290,Unchanged
AT2G28320,De-novo marked
AT2G28330,De-novo marked
AT2G28370,De-novo marked
AT2G28380,Hyper-marked
AT2G28390,De-novo marked
AT2G28430,Unchanged
AT2G28450,Hyper-marked
AT2G28470,Hyper-marked
AT2G28520,De-novo marked
AT2G28540,Unchanged
AT2G28590,Hyper-marked
AT2G28600,Hyper-marked
AT2G28620,Unchanged
AT2G28650,Hyper-marked
AT2G28670,Unchanged
AT2G28671,Unchanged
AT2G28740,Hyper-marked
AT2G28910,Unchanged
AT2G29020,Unchanged
AT2G29050,Hyper-marked
AT2G29065,De-novo marked
AT2G29080,Unchanged
AT2G29210,Unchanged
AT2G29400,Unchanged
AT2G29420,Unchanged
AT2G29450,Unchanged
AT2G29520,De-novo marked
AT2G29525,De-novo marked
AT2G29530,Unchanged
AT2G29540,De-novo marked
AT2G29550,De-novo marked
AT2G29560,De-novo marked
AT2G29570,De-novo marked
AT2G29580,De-novo marked
AT2G29590,Hyper-marked
AT2G29600,Hyper-marked
AT2G29630,Unchanged
AT2G29640,De-novo marked
AT2G29650,Unchanged
AT2G29660,Unchanged
AT2G29740,Unchanged
AT2G29890,Hyper-marked
AT2G29900,Hyper-marked
AT2G29910,De-novo marked
AT2G29940,Unchanged
AT2G29990,Hyper-marked
AT2G30020,De-novo marked
AT2G30050,De-novo marked
AT2G30100,Hyper-marked
AT2G30105,De-novo marked
AT2G30110,Unchanged
AT2G30120,De-novo marked
AT2G30160,De-novo marked
AT2G30200,De-novo marked
AT2G30260,Unchanged
AT2G30330,Hyper-marked
AT2G30350,De-novo marked
AT2G30390,Unchanged
AT2G30410,De-novo marked
AT2G30460,Hyper-marked
AT2G30470,Unchanged
AT2G30480,Hyper-marked
AT2G30490,Hyper-marked
AT2G30530,De-novo marked
AT2G30550,Hypo-marked
AT2G30575,Hyper-marked
AT2G30580,Hyper-marked
AT2G30695,De-novo marked
AT2G30700,De-novo marked
AT2G30710,Unchanged
AT2G30720,De-novo marked
AT2G30780,Unchanged
AT2G30800,De-novo marked
AT2G30820,Hyper-marked
AT2G30880,Unchanged
AT2G30945,De-novo marked
AT2G31130,De-novo marked
AT2G31170,Hyper-marked
AT2G31230,Hyper-marked
AT2G31240,Unchanged
AT2G31250,Unchanged
AT2G31260,De-novo marked
AT2G31270,De-novo marked
AT2G31280,De-novo marked
AT2G31305,Unchanged
AT2G31320,Hyper-marked
AT2G31340,Hyper-marked
AT2G31390,Unchanged
AT2G31410,Unchanged
AT2G31450,Hypo-marked
AT2G31490,De-novo marked
AT2G31510,De-novo marked
AT2G31560,Unchanged
AT2G31580,De-novo marked
AT2G31600,De-novo marked
AT2G31610,De-novo marked
AT2G31650,De-novo marked
AT2G31660,De-novo marked
AT2G31670,De-novo marked
AT2G31680,De-novo marked
AT2G31710,Hypo-marked
AT2G31725,Unchanged
AT2G31730,Hypo-marked
AT2G31740,Hyper-marked
AT2G31840,Hypo-marked
AT2G31900,Unchanged
AT2G31902,Unchanged
AT2G31970,De-novo marked
AT2G31990,Hypo-marked
AT2G32060,Unchanged
AT2G32070,Unchanged
AT2G32080,De-novo marked
AT2G32120,De-novo marked
AT2G32235,Hyper-marked
AT2G32240,Hyper-marked
AT2G32250,De-novo marked
AT2G32260,De-novo marked
AT2G32315,Unchanged
AT2G32320,Unchanged
AT2G32380,De-novo marked
AT2G32410,De-novo marked
AT2G32430,Hyper-marked
AT2G32450,Hyper-marked
AT2G32480,De-novo marked
AT2G32500,De-novo marked
AT2G32560,Hypo-marked
AT2G32590,De-novo marked
AT2G32600,De-novo marked
AT2G32630,De-novo marked
AT2G32700,Unchanged
AT2G32710,De-novo marked
AT2G32730,De-novo marked
AT2G32760,Unchanged
AT2G32795,De-novo marked
AT2G32810,De-novo marked
AT2G32830,Unchanged
AT2G32840,De-novo marked
AT2G32850,Unchanged
AT2G32890,Hyper-marked
AT2G32900,Hyper-marked
AT2G32905,Unchanged
AT2G32910,Unchanged
AT2G32940,Unchanged
AT2G32950,De-novo marked
AT2G32960,Hypo-marked
AT2G32970,Unchanged
AT2G33000,Unchanged
AT2G33010,Unchanged
AT2G33040,Unchanged
AT2G33210,De-novo marked
AT2G33220,De-novo marked
AT2G33250,Hyper-marked
AT2G33255,Hyper-marked
AT2G33290,De-novo marked
AT2G33320,Unchanged
AT2G33340,Unchanged
AT2G33360,Hyper-marked
AT2G33370,Unchanged
AT2G33390,Unchanged
AT2G33410,De-novo marked
AT2G33435,De-novo marked
AT2G33470,Unchanged
AT2G33490,De-novo marked
AT2G33540,Unchanged
AT2G33560,De-novo marked
AT2G33585,Hyper-marked
AT2G33610,De-novo marked
AT2G33640,Unchanged
AT2G33730,De-novo marked
AT2G33735,De-novo marked
AT2G33740,De-novo marked
AT2G33770,Hyper-marked
AT2G33793,Unchanged
AT2G33835,De-novo marked
AT2G33840,De-novo marked
AT2G33847,Unchanged
AT2G33980,Hyper-marked
AT2G34040,De-novo marked
AT2G34050,Hypo-marked
AT2G34160,De-novo marked
AT2G34185,Unchanged
AT2G34210,Hypo-marked
AT2G34260,Unchanged
AT2G34357,De-novo marked
AT2G34380,Unchanged
AT2G34400,Hyper-marked
AT2G34450,Unchanged
AT2G34460,Unchanged
AT2G34570,De-novo marked
AT2G34580,De-novo marked
AT2G34585,De-novo marked
AT2G34590,De-novo marked
AT2G34630,Unchanged
AT2G34690,De-novo marked
AT2G34730,De-novo marked
AT2G34780,De-novo marked
AT2G34790,Hypo-marked
AT2G34840,Hyper-marked
AT2G34970,Hypo-marked
AT2G34980,Hypo-marked
AT2G35010,De-novo marked
AT2G35020,Hyper-marked
AT2G35040,De-novo marked
AT2G35100,Hyper-marked
AT2G35110,Hyper-marked
AT2G35155,Hyper-marked
AT2G35160,De-novo marked
AT2G35170,Hyper-marked
AT2G35190,Unchanged
AT2G35210,De-novo marked
AT2G35230,Unchanged
AT2G35240,Hyper-marked
AT2G35320,De-novo marked
AT2G35330,De-novo marked
AT2G35340,Unchanged
AT2G35343,Unchanged
AT2G35345,Unchanged
AT2G35350,Unchanged
AT2G35360,Hyper-marked
AT2G35370,Hyper-marked
AT2G35384,Unchanged
AT2G35387,Unchanged
AT2G35450,Hyper-marked
AT2G35470,Hyper-marked
AT2G35480,Hyper-marked
AT2G35490,De-novo marked
AT2G35530,Hyper-marked
AT2G35605,Unchanged
AT2G35620,De-novo marked
AT2G35630,De-novo marked
AT2G35635,Hypo-marked
AT2G35680,Unchanged
AT2G35720,De-novo marked
AT2G35733,Hyper-marked
AT2G35736,Hyper-marked
AT2G35790,Hyper-marked
AT2G35800,De-novo marked
AT2G35810,Unchanged
AT2G35840,Hypo-marked
AT2G36000,De-novo marked
AT2G36010,Hyper-marked
AT2G36060,Unchanged
AT2G36070,De-novo marked
AT2G36090,Hypo-marked
AT2G36200,Unchanged
AT2G36230,De-novo marked
AT2G36240,De-novo marked
AT2G36250,De-novo marked
AT2G36305,Hyper-marked
AT2G36330,Unchanged
AT2G36360,De-novo marked
AT2G36370,De-novo marked
AT2G36460,Unchanged
AT2G36480,Unchanged
AT2G36490,De-novo marked
AT2G36580,De-novo marked
AT2G36720,De-novo marked
AT2G36810,De-novo marked
AT2G36835,Unchanged
AT2G36880,Unchanged
AT2G36885,Unchanged
AT2G36895,Hyper-marked
AT2G36910,Unchanged
AT2G36930,Hypo-marked
AT2G36960,Unchanged
AT2G37000,Unchanged
AT2G37020,Unchanged
AT2G37040,Hypo-marked
AT2G37120,De-novo marked
AT2G37160,De-novo marked
AT2G37195,Hypo-marked
AT2G37200,Unchanged
AT2G37220,De-novo marked
AT2G37230,De-novo marked
AT2G37240,Hyper-marked
AT2G37340,Unchanged
AT2G37360,De-novo marked
AT2G37362,De-novo marked
AT2G37400,De-novo marked
AT2G37410,De-novo marked
AT2G37420,De-novo marked
AT2G37470,Hyper-marked
AT2G37480,Unchanged
AT2G37500,De-novo marked
AT2G37520,De-novo marked
AT2G37550,Hyper-marked
AT2G37555,Hyper-marked
AT2G37585,Hypo-marked
AT2G37620,De-novo marked
AT2G37650,Hyper-marked
AT2G37670,Unchanged
AT2G37790,Hypo-marked
AT2G37840,De-novo marked
AT2G37860,De-novo marked
AT2G37890,Hypo-marked
AT2G37930,Unchanged
AT2G37960,De-novo marked
AT2G37975,Hypo-marked
AT2G37980,Hypo-marked
AT2G37990,De-novo marked
AT2G38010,Hyper-marked
AT2G38025,De-novo marked
AT2G38030,De-novo marked
AT2G38040,Unchanged
AT2G38050,Unchanged
AT2G38060,Hypo-marked
AT2G38070,Hyper-marked
AT2G38140,De-novo marked
AT2G38180,De-novo marked
AT2G38185,De-novo marked
AT2G38230,Hypo-marked
AT2G38260,Unchanged
AT2G38330,De-novo marked
AT2G38360,Hyper-marked
AT2G38410,Unchanged
AT2G38420,Hyper-marked
AT2G38440,De-novo marked
AT2G38450,Unchanged
AT2G38480,De-novo marked
AT2G38490,Unchanged
AT2G38500,Unchanged
AT2G38520,Unchanged
AT2G38550,Unchanged
