gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AT3G02400,958.391739645147,2.2720008412547785,0.10038681106375724,22.63246353957588,2.0767269836782414e-113,4.36465710159656e-109
AT5G52980,1106.4720253257308,1.5887990322148908,0.08564223480597964,18.55158305728798,7.918516771337571e-77,5.547448899440058e-73
AT5G52990,1106.4720253257308,1.5887990322148908,0.08564223480597964,18.55158305728798,7.918516771337571e-77,5.547448899440058e-73
AT4G11680,1632.508505284389,1.384960719285214,0.07944392232043851,17.433186565222066,4.619833441311458e-68,1.941900788720858e-64
AT4G11690,1632.508505284389,1.384960719285214,0.07944392232043851,17.433186565222066,4.619833441311458e-68,1.941900788720858e-64
AT1G56340,1240.4905383672171,1.5559347438833921,0.09090949133915216,17.115206794840958,1.143090314147222e-65,3.00304114155402e-62
AT1G56345,1240.4905383672171,1.5559347438833921,0.09090949133915216,17.115206794840958,1.143090314147222e-65,3.00304114155402e-62
AT1G56350,1240.4905383672171,1.5559347438833921,0.09090949133915216,17.115206794840958,1.143090314147222e-65,3.00304114155402e-62
AT2G20110,550.7025012868858,2.146957657089328,0.1273632145134791,16.856968201459072,9.32513341352911e-64,2.1776258772460146e-60
AT2G08205,783.4830878284686,1.7744951468338908,0.10543593620806707,16.830079104453585,1.4690569528817697e-63,2.5729308315596795e-60
AT2G27470,783.4830878284686,1.7744951468338908,0.10543593620806707,16.830079104453585,1.4690569528817697e-63,2.5729308315596795e-60
AT2G27480,783.4830878284686,1.7744951468338908,0.10543593620806707,16.830079104453585,1.4690569528817697e-63,2.5729308315596795e-60
AT5G51660,421.61252085864686,2.053813399957952,0.12313599386876484,16.6792286757912,1.855998478351366e-62,3.0005784630392812e-59
AT5G00880,1073.5991449863707,1.744448397306651,0.10472235641245763,16.657841334623882,2.6543305657427104e-62,3.486629093763409e-59
AT5G02830,1073.5991449863707,1.744448397306651,0.10472235641245763,16.657841334623882,2.6543305657427104e-62,3.486629093763409e-59
AT5G02840,1073.5991449863707,1.744448397306651,0.10472235641245763,16.657841334623882,2.6543305657427104e-62,3.486629093763409e-59
AT1G76260,1131.246540932864,1.772817361334216,0.10713910225148728,16.546875268498027,1.6863086605301456e-61,2.08477347755071e-58
AT2G35490,827.9354860690943,1.589652043395648,0.09667445877761692,16.443350844635923,9.359761133770843e-61,1.0353373670971674e-57
AT2G35500,827.9354860690943,1.589652043395648,0.09667445877761692,16.443350844635923,9.359761133770843e-61,1.0353373670971674e-57
AT1G03750,658.6718392194089,1.914607404472422,0.11734381481200624,16.316219202007105,7.567996573518074e-60,7.952829199281468e-57
AT4G05440,872.091782762343,1.682899956338571,0.10488564697089393,16.045092964965743,6.186623968976841e-58,5.504818750993141e-55
AT4G05450,872.091782762343,1.682899956338571,0.10488564697089393,16.045092964965743,6.186623968976841e-58,5.504818750993141e-55
AT4G03425,891.023630515001,-1.5197592798571775,0.09472385888909884,-16.044102274554575,6.286132655651871e-58,5.504818750993141e-55
AT4G37840,891.023630515001,-1.5197592798571775,0.09472385888909884,-16.044102274554575,6.286132655651871e-58,5.504818750993141e-55
AT1G30840,1606.5205135914575,-1.3149654162208537,0.08197380213729423,-16.04128858166756,6.577530099921411e-58,5.529598004401931e-55
AT4G08055,929.4854488058653,1.6778971620791598,0.10488128161174852,15.998061201143887,1.318164927713743e-57,1.0260693439170273e-54
AT4G29130,929.4854488058653,1.6778971620791598,0.10488128161174852,15.998061201143887,1.318164927713743e-57,1.0260693439170273e-54
AT5G48330,412.6509803263934,2.1348691610232655,0.13361989171641991,15.977180744571143,1.8429460452929033e-57,1.3833284654971767e-54
AT1G32910,964.0202285203624,-1.4729331312300444,0.09335602536199968,-15.777590418171316,4.438098233557007e-56,3.2163969163678486e-53
AT5G38590,509.1252224237031,2.03736590767646,0.13042422585259603,15.621069585485351,5.232053011544028e-55,3.665401938120695e-52
AT5G41700,757.7679838474497,1.6893054774587233,0.10855970345482309,15.561073065769055,1.3383610657697843e-54,9.073656296543083e-52
AT5G02270,500.0146351297489,1.8305354847522255,0.11793110515449781,15.522075218019019,2.4596587570853388e-54,1.5665044878079566e-51
AT5G02280,500.0146351297489,1.8305354847522255,0.11793110515449781,15.522075218019019,2.4596587570853388e-54,1.5665044878079566e-51
AT3G61320,826.9116566307471,1.5550156751050024,0.10056368617743455,15.462993991303511,6.16644792798481e-54,3.811771650072257e-51
AT5G06050,621.3511871012829,1.6146394618022935,0.10513021709991689,15.358471677726326,3.1081566656909144e-53,1.8664036755093127e-50
AT1G13900,877.8351418987338,1.6644001679607916,0.10841453982381928,15.35218588452758,3.4245025307188944e-53,1.9452099915707838e-50
AT1G13910,877.8351418987338,1.6644001679607916,0.10841453982381928,15.35218588452758,3.4245025307188944e-53,1.9452099915707838e-50
AT3G60680,447.7675208937187,1.982195446850866,0.1292159571408501,15.340175398694766,4.1208004443016024e-53,2.279127972049652e-50
AT5G66850,1521.6460865163695,1.2604083663909025,0.08218566472131394,15.336109656895303,4.3871123043350595e-53,2.364203571800255e-50
AT3G61770,1248.6229301624696,1.4778249030291601,0.09638551925131268,15.332437014484762,4.642374746562482e-53,2.4392197512125917e-50
AT3G27180,477.65391928473264,1.998669012317586,0.13141693956521777,15.208610236473469,3.100556142647239e-52,1.5893753280491955e-49
AT2G23690,1022.2927343636795,-1.8405959051630145,0.12172148810952811,-15.121372025182596,1.1707759694313352e-51,5.858618702271041e-49
AT1G09130,502.37006567353177,1.674314127779529,0.11110104374725312,15.070192604026955,2.543704148182683e-51,1.2432797693571035e-48
AT3G09635,914.7775902691296,1.7944234399213421,0.11951905268570993,15.01370199645072,5.971947825969387e-51,2.693542948904262e-48
AT3G61360,914.7775902691296,1.7944234399213421,0.11951905268570993,15.01370199645072,5.971947825969387e-51,2.693542948904262e-48
AT3G61370,914.7775902691296,1.7944234399213421,0.11951905268570993,15.01370199645072,5.971947825969387e-51,2.693542948904262e-48
AT4G04020,1105.6362274313153,1.4203865722748104,0.09460961268176345,15.013131668264382,6.023529457034796e-51,2.693542948904262e-48
AT1G11591,501.3008809751812,1.761172642398652,0.11792231247491204,14.935024639830916,1.9500200801334156e-50,8.363994290645714e-48
AT1G11592,501.3008809751812,1.761172642398652,0.11792231247491204,14.935024639830916,1.9500200801334156e-50,8.363994290645714e-48
AT1G28360,1843.903413388165,-1.3002844448972535,0.08733158081794544,-14.88905196400685,3.8823544022106015e-50,1.6319088494252041e-47
AT1G04630,988.7901838539524,1.3946541086191697,0.09375395538671098,14.87568287510196,4.741226465993005e-50,1.8801199365240565e-47
AT1G04635,988.7901838539524,1.3946541086191697,0.09375395538671098,14.87568287510196,4.741226465993005e-50,1.8801199365240565e-47
AT1G04640,988.7901838539524,1.3946541086191697,0.09375395538671098,14.87568287510196,4.741226465993005e-50,1.8801199365240565e-47
AT3G53490,538.0572899466852,1.9116906690156965,0.12902558631541639,14.81636878085848,1.1482616197071425e-49,4.469076752108336e-47
AT5G44500,770.1213986556114,1.6330969712000054,0.11024606705815071,14.81319937099078,1.2037182592930721e-49,4.599735755556818e-47
AT5G17520,962.8575987251113,1.3338424540818217,0.09038844728546923,14.756780253888143,2.7825095141270865e-49,9.911864823459148e-47
AT5G17522,962.8575987251113,1.3338424540818217,0.09038844728546923,14.756780253888143,2.7825095141270865e-49,9.911864823459148e-47
AT5G17523,962.8575987251113,1.3338424540818217,0.09038844728546923,14.756780253888143,2.7825095141270865e-49,9.911864823459148e-47
AT5G17530,962.8575987251113,1.3338424540818217,0.09038844728546923,14.756780253888143,2.7825095141270865e-49,9.911864823459148e-47
AT2G02350,1169.0657644918285,1.4848452658965459,0.10097130369693519,14.705616462607047,5.932816437847526e-49,2.011129081842604e-46
AT2G02360,1169.0657644918285,1.4848452658965459,0.10097130369693519,14.705616462607047,5.932816437847526e-49,2.011129081842604e-46
AT2G02370,1169.0657644918285,1.4848452658965459,0.10097130369693519,14.705616462607047,5.932816437847526e-49,2.011129081842604e-46
AT1G78790,448.4778205292937,1.9819848217272646,0.13511946995399263,14.668388074658068,1.027572458056849e-48,3.428014341425523e-46
AT5G19340,1598.6179805622544,-1.193848017365527,0.0814790905106203,-14.652201072493762,1.3042126158789485e-48,4.229433350228766e-46
AT4G20010,339.00437680696416,2.128300408614639,0.14525663422686788,14.652001403877845,1.3080514239181128e-48,4.229433350228766e-46
AT3G19220,776.8272767966342,1.4605917843631107,0.09975854039362761,14.641270597984917,1.5317865670678464e-48,4.877811860615898e-46
AT1G73930,388.4667059825741,2.074661100894743,0.1417859733523478,14.632343749117334,1.7466499446447242e-48,5.47900625173107e-46
AT3G18100,742.8362812959937,1.6667401255042742,0.1145609057793595,14.54894332552119,5.93121476223977e-48,1.8331814802646068e-45
AT5G10160,402.9084834149065,2.0038440129719124,0.13811695394835224,14.508313104857743,1.0732763648064594e-47,3.2691375882807764e-45
AT3G61800,944.1179343102679,1.5082139905736232,0.10410105130246869,14.487980396965087,1.4432420029406273e-47,4.2721996022257974e-45
AT3G61810,944.1179343102679,1.5082139905736232,0.10410105130246869,14.487980396965087,1.4432420029406273e-47,4.2721996022257974e-45
AT4G13370,791.7279670380058,1.414073556686372,0.09782211701479811,14.455560765184186,2.3123879766514396e-47,6.749924736844903e-45
AT2G45320,1023.218880730135,1.455401698072443,0.10087073325429959,14.42838424107923,3.4302306650406577e-47,9.742318633399932e-45
AT2G45330,1023.218880730135,1.455401698072443,0.10087073325429959,14.42838424107923,3.4302306650406577e-47,9.742318633399932e-45
AT5G43750,398.5239981392953,1.8655608713068523,0.12931074254448752,14.426959698766193,3.501803591235584e-47,9.812987476933103e-45
AT5G13060,1197.3189539498649,1.4023891115972311,0.09722567297702767,14.424061759167103,3.652023546614503e-47,1.0099286694631185e-44
AT2G48121,709.3612320647164,-1.4119004352600713,0.09798570082592613,-14.409249751332036,4.526001120346771e-47,1.2353631889133519e-44
AT1G23980,419.34242079771184,1.9725313896926313,0.13705066455661613,14.392716708628372,5.749242468259117e-47,1.5295168222202767e-44
