gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AT5G03800,6011.633538673013,0.009275581786873177,0.05927577143593574,8.278667764678417,6.228046152476612e-17,1.3089484598660097e-12
AT4G14800,3842.823352706654,-0.022566243577116115,0.06234378257633162,7.658081314497242,9.436569183070636e-15,9.916418726029778e-11
AT4G36290,3090.6725019950427,0.005982186192739621,0.06519784483295818,7.577210796966855,1.7653144291510615e-14,1.2216247087821188e-10
AT1G09470,2984.013822173102,2.4237246189099873e-5,0.06694840210824825,7.4680761154747914,4.068788581374521e-14,1.2216247087821188e-10
AT1G09480,2984.013822173102,2.4237246189099873e-5,0.06694840210824825,7.4680761154747914,4.068788581374521e-14,1.2216247087821188e-10
AT1G09483,2984.013822173102,2.4237246189099873e-5,0.06694840210824825,7.4680761154747914,4.068788581374521e-14,1.2216247087821188e-10
AT1G09490,2984.013822173102,2.4237246189099873e-5,0.06694840210824825,7.4680761154747914,4.068788581374521e-14,1.2216247087821188e-10
AT5G20390,2573.1782968022612,-0.008143318838361432,0.06728638581007002,7.30989895266492,1.3367167594762893e-13,2.809377613391317e-10
AT5G20400,2573.1782968022612,-0.008143318838361432,0.06728638581007002,7.30989895266492,1.3367167594762893e-13,2.809377613391317e-10
AT5G20410,2573.1782968022612,-0.008143318838361432,0.06728638581007002,7.30989895266492,1.3367167594762893e-13,2.809377613391317e-10
AT3G14750,3567.6578861231424,-0.016741171460679848,0.06672264578034622,7.2428007445962015,2.1975620175092895e-13,4.19874190199934e-10
AT2G45760,2345.5906098061478,-0.016677471711870562,0.06711999221637278,7.200872829812861,2.991416418453484e-13,4.836199912818221e-10
AT2G45770,2345.5906098061478,-0.016677471711870562,0.06711999221637278,7.200872829812861,2.991416418453484e-13,4.836199912818221e-10
AT3G04300,2310.8176635051204,-0.008811646490665737,0.06936126353417274,7.081594660791275,7.12524863974655e-13,8.623551179965071e-10
AT3G04310,2310.8176635051204,-0.008811646490665737,0.06936126353417274,7.081594660791275,7.12524863974655e-13,8.623551179965071e-10
AT3G04320,2310.8176635051204,-0.008811646490665737,0.06936126353417274,7.081594660791275,7.12524863974655e-13,8.623551179965071e-10
AT3G04330,2310.8176635051204,-0.008811646490665737,0.06936126353417274,7.081594660791275,7.12524863974655e-13,8.623551179965071e-10
AT1G74120,2959.635083750292,0.041439305978528455,0.06500701783576925,7.054018308914866,8.691174615667799e-13,8.623551179965071e-10
AT1G74130,2959.635083750292,0.041439305978528455,0.06500701783576925,7.054018308914866,8.691174615667799e-13,8.623551179965071e-10
AT1G09203,2508.7408179744643,-0.009339386779092844,0.06960963496973654,7.048745671978119,9.026888992683616e-13,8.623551179965071e-10
AT1G70970,2508.7408179744643,-0.009339386779092844,0.06960963496973654,7.048745671978119,9.026888992683616e-13,8.623551179965071e-10
AT1G70980,2508.7408179744643,-0.009339386779092844,0.06960963496973654,7.048745671978119,9.026888992683616e-13,8.623551179965071e-10
AT5G00460,4377.256585457539,-0.053750578383201,0.06367451008792148,7.008289832157637,1.206243310980132e-12,9.389487284025716e-10
AT5G24155,4377.256585457539,-0.053750578383201,0.06367451008792148,7.008289832157637,1.206243310980132e-12,9.389487284025716e-10
AT5G24160,4377.256585457539,-0.053750578383201,0.06367451008792148,7.008289832157637,1.206243310980132e-12,9.389487284025716e-10
AT5G24165,4377.256585457539,-0.053750578383201,0.06367451008792148,7.008289832157637,1.206243310980132e-12,9.389487284025716e-10
AT5G24170,4377.256585457539,-0.053750578383201,0.06367451008792148,7.008289832157637,1.206243310980132e-12,9.389487284025716e-10
AT5G03025,2735.0645630895533,0.029695861111922878,0.06731549898430647,6.9865654416038865,1.4084851944449921e-12,1.0207632183327724e-9
