gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	effect
AT1G01010	14.2810584126723	-1.62134443127305	0.478492920057716	0	0.902949881686538	0.927731244474831	YES
AT1G01020	27.7695300966315	0.0532965441483547	0.281023977949356	3.36876398505131	0.000377530265887704	0.000964852395418997	NO
AT1G01030	9.48978854666827	-0.476674167061225	0.504872826056065	1.03654981201278	0.149972856705766	0.17823751058754	YES
AT1G01040	34.9308747195923	0.046954325189777	0.262042125523896	3.63699413941486	0.000137919102323466	0.000403348778039306	NO
AT1G01050	215.817865871306	0.0507345776489047	0.129549641725899	7.32742607161776	1.17307506772516e-13	6.60765108374973e-12	NO
AT1G01060	3.21839084632329	-0.585628814797497	0.808051349643171	0.512803035828708	0.304044552984331	NA	NA
AT1G01070	14.3345472991706	-0.145086874990855	0.420894931558945	2.03117942485705	0.0211183983852613	0.0321123082228376	NO
AT1G01080	131.354557360347	0.0918060148655795	0.156532785778712	5.80194098390558	3.2775817701646e-09	4.200940786283e-08	NO
AT1G01090	371.808558164644	-0.0319782589531727	0.131525649117937	7.35994650122437	9.19919748151935e-14	5.4558824633226e-12	NO
AT1G01100	601.189138882759	0.298063927817039	0.132025180065617	5.3166833162742	5.28378765219284e-08	4.59920222413651e-07	NO
AT1G01110	7.72582866509721	-0.790401011430636	0.518885993413037	0.403940347648817	0.343128292735711	0.377660227477571	YES
AT1G01120	92.0961279640429	0.0995520493163206	0.238021006354807	3.78306085027396	7.74557615995279e-05	0.000245059366575026	NO
AT1G01130	1.98228383132711	-0.0335687659536386	1.080362351288	0.894543606498492	0.185515554665043	NA	NA
AT1G01140	141.667231083002	0.117690249037815	0.170718748050341	5.16820654461461	1.1817551540225e-07	9.18914592744847e-07	NO
AT1G01150	0.0954948337318449	-0.281949024808532	3.5338115409304	0.203194473410548	0.41949151615697	NA	NA
AT1G01160	56.0059791401666	0.0417874360656243	0.207320554712318	4.62188886800929	1.9013085903864e-06	1.01225718291904e-05	NO
AT1G01170	322.359327538525	0.0885452755856207	0.145212460124271	6.27669776845851	1.7291970397962e-10	3.36395854511701e-09	NO
AT1G01180	57.4621788864151	0.172518165331136	0.220300759637971	3.75614607969895	8.62749999115766e-05	0.000269509613656194	NO
AT1G01190	4.29851164307132	-2.35214867532225	0.958099465617137	0	0.920919282441232	NA	NA
AT1G01200	1.66540407331971	-0.052601218279221	1.10725536355557	0.855628080841747	0.196101766212792	NA	NA
AT1G01210	33.0527356030058	0.124983674988512	0.267588934573273	3.27000190201021	0.000537733806167691	0.00131314658953022	NO
AT1G01220	34.530457854598	0.347368377643153	0.278297672266968	2.34508473261963	0.00951137797996671	0.0159716634295219	NO
AT1G01225	6.10971239227401	0.0861850266930585	0.603233386557043	1.51486140136	0.0649037535022197	NA	NA
AT1G01230	103.14984951622	0.140443083756726	0.158278928865655	5.43064653269705	2.80751260815474e-08	2.67757412836522e-07	NO
AT1G01240	72.4832080031224	-0.001661723011913	0.220587473846522	4.52581581165711	3.0081481402025e-06	1.50289333562593e-05	NO
AT1G01250	5.22514936703557	0.532903836237019	0.63169050512969	0.739438316659648	0.229820441281883	NA	NA
AT1G01260	22.9336657192058	-0.0401982782423826	0.336900686623437	2.84891589678003	0.00219342376414234	0.00445223049868293	NO
AT1G01270	0	NA	NA	NA	NA	NA	NA
AT1G01280	0	NA	NA	NA	NA	NA	NA
AT1G01290	27.1606139240606	-0.59728652482093	0.285034468985445	1.41285886093879	0.0788486136292072	0.101132316078017	YES
AT1G01300	102.435839743941	0.260663915072581	0.227594099745932	3.24848528917382	0.000580106039633528	0.00140213477034998	NO
AT1G01305	0.111025516774375	1.16072349559074	3.5338115409304	0	0.51813829004766	NA	NA
AT1G01310	0.202318675484875	1.16072349559074	3.5338115409304	0	0.51813829004766	NA	NA
AT1G01320	286.064873670859	0.200876744300914	0.13756706686925	5.80897211727721	3.14287778089651e-09	4.04395012756567e-08	NO
AT1G01335	0	NA	NA	NA	NA	NA	NA
AT1G01340	14.5033803999447	-0.959696170707591	0.444517573311942	0.0906686972848331	0.463877922049988	0.499238242351944	YES
AT1G01350	44.8850877271497	-0.0374395181868547	0.240546501384972	4.00155677289464	3.14635459908507e-05	0.000113086253814259	NO
AT1G01355	2.3423264067334	1.77147284405377	1.04689023331396	0	0.769414061993974	NA	NA
AT1G01360	27.9538376042716	-0.551004164721162	0.306963797920564	1.46269963533299	0.0717747930028849	0.0932300415902925	YES
AT1G01370	7.2637586902488	-0.516412611615368	0.56871934697772	0.850309367800664	0.19757655485757	0.228590354721592	YES
AT1G01380	2.60811493239585	-0.151433196748545	0.867157289606634	0.978561575185959	0.163898326444234	NA	NA
AT1G01390	9.09977943903784	2.11884657086152	0.600295676115956	0	0.96882691455367	0.987323948704784	YES
AT1G01400	0	NA	NA	NA	NA	NA	NA
AT1G01410	0	NA	NA	NA	NA	NA	NA
AT1G01420	25.3011230266201	0.786219394581851	0.299011930717476	0.714956774150063	0.237317876803683	0.269760177747513	YES
AT1G01430	109.783313967677	0.155277039017037	0.185257609594719	4.55972071987182	2.56108475921211e-06	1.3132404558625e-05	NO
AT1G01440	34.5437564699199	0.160384948007108	0.259615970524731	3.23406549410608	0.000610207326925746	0.00146419672834111	NO
AT1G01448	23.52033044723	-0.91502182442153	0.317634550086425	0.267534421414006	0.394528857614379	0.429491382035864	YES
AT1G01450	0	NA	NA	NA	NA	NA	NA
AT1G01453	1.54557257922512	-0.4645441181917	1.35237451290518	0.395937572542705	0.346075541193749	NA	NA
AT1G01460	0	NA	NA	NA	NA	NA	NA
