gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ip
AT5G52980,1106.4720253257308,1.5887990322148908,0.08564223480597964,18.55158305728798,7.918516771337571e-77,5.547448899440058e-73,Hyper-marked
AT5G52990,1106.4720253257308,1.5887990322148908,0.08564223480597964,18.55158305728798,7.918516771337571e-77,5.547448899440058e-73,Hyper-marked
AT4G11680,1632.508505284389,1.384960719285214,0.07944392232043851,17.433186565222066,4.619833441311458e-68,1.9419007887208582e-64,Hyper-marked
AT4G11690,1632.508505284389,1.384960719285214,0.07944392232043851,17.433186565222066,4.619833441311458e-68,1.9419007887208582e-64,Hyper-marked
AT4G03425,891.023630515001,-1.5197592798571775,0.09472385888909884,-16.044102274554575,6.286132655651871e-58,5.50481875099314e-55,Hypo-marked
AT4G37840,891.023630515001,-1.5197592798571775,0.09472385888909884,-16.044102274554575,6.286132655651871e-58,5.50481875099314e-55,Hypo-marked
AT1G30840,1606.5205135914575,-1.3149654162208535,0.08197380213729423,-16.04128858166756,6.577530099921411e-58,5.5295980044019304e-55,Hypo-marked
AT4G08055,929.4854488058652,1.6778971620791598,0.10488128161174852,15.998061201143887,1.318164927713743e-57,1.0260693439170272e-54,Hyper-marked
AT4G29130,929.4854488058652,1.6778971620791598,0.10488128161174852,15.998061201143887,1.318164927713743e-57,1.0260693439170272e-54,Hyper-marked
AT1G32910,964.0202285203624,-1.4729331312300444,0.09335602536199968,-15.777590418171316,4.438098233557007e-56,3.2163969163678486e-53,Hypo-marked
AT5G66850,1521.6460865163697,1.2604083663909025,0.08218566472131394,15.336109656895305,4.387112304335059e-53,2.364203571800255e-50,Hyper-marked
AT3G61770,1248.6229301624696,1.47782490302916,0.09638551925131268,15.332437014484762,4.642374746562482e-53,2.4392197512125917e-50,Hyper-marked
AT2G23690,1022.2927343636796,-1.8405959051630143,0.12172148810952813,-15.121372025182596,1.1707759694313352e-51,5.858618702271041e-49,Hypo-marked
AT1G09130,502.37006567353177,1.674314127779529,0.11110104374725312,15.070192604026955,2.543704148182683e-51,1.2432797693571035e-48,Hyper-marked
AT3G09635,914.7775902691296,1.794423439921342,0.11951905268570992,15.01370199645072,5.971947825969387e-51,2.693542948904262e-48,Hyper-marked
AT3G61360,914.7775902691296,1.794423439921342,0.11951905268570992,15.01370199645072,5.971947825969387e-51,2.693542948904262e-48,Hyper-marked
AT3G61370,914.7775902691296,1.794423439921342,0.11951905268570992,15.01370199645072,5.971947825969387e-51,2.693542948904262e-48,Hyper-marked
AT4G04020,1105.636227431315,1.4203865722748104,0.09460961268176343,15.013131668264382,6.023529457034796e-51,2.693542948904262e-48,Hyper-marked
AT1G28360,1843.903413388165,-1.3002844448972537,0.08733158081794544,-14.88905196400685,3.882354402210602e-50,1.631908849425204e-47,Hypo-marked
AT1G04630,988.7901838539524,1.3946541086191695,0.09375395538671098,14.87568287510196,4.741226465993005e-50,1.8801199365240563e-47,Hyper-marked
AT1G04635,988.7901838539524,1.3946541086191695,0.09375395538671098,14.87568287510196,4.741226465993005e-50,1.8801199365240563e-47,Hyper-marked
AT1G04640,988.7901838539524,1.3946541086191695,0.09375395538671098,14.87568287510196,4.741226465993005e-50,1.8801199365240563e-47,Hyper-marked
AT5G44500,770.1213986556114,1.6330969712000054,0.11024606705815072,14.81319937099078,1.203718259293072e-49,4.599735755556818e-47,Hyper-marked
AT2G02350,1169.0657644918283,1.484845265896546,0.1009713036969352,14.705616462607049,5.932816437847526e-49,2.011129081842604e-46,Hyper-marked
AT2G02360,1169.0657644918283,1.484845265896546,0.1009713036969352,14.705616462607049,5.932816437847526e-49,2.011129081842604e-46,Hyper-marked
AT2G02370,1169.0657644918283,1.484845265896546,0.1009713036969352,14.705616462607049,5.932816437847526e-49,2.011129081842604e-46,Hyper-marked
AT5G19340,1598.6179805622544,-1.193848017365527,0.0814790905106203,-14.652201072493762,1.3042126158789483e-48,4.229433350228766e-46,Hypo-marked
AT3G19220,776.8272767966342,1.4605917843631109,0.0997585403936276,14.641270597984915,1.5317865670678464e-48,4.877811860615898e-46,Hyper-marked
AT3G18100,742.8362812959937,1.6667401255042742,0.1145609057793595,14.54894332552119,5.931214762239769e-48,1.8331814802646068e-45,Hyper-marked
AT4G13370,791.7279670380058,1.414073556686372,0.09782211701479812,14.455560765184186,2.3123879766514396e-47,6.749924736844903e-45,Hyper-marked
AT2G48121,709.3612320647164,-1.4119004352600713,0.09798570082592611,-14.409249751332036,4.526001120346771e-47,1.235363188913352e-44,Hypo-marked
AT3G50870,1171.6626121367528,-1.1998504078296666,0.0838562989854547,-14.30841120281002,1.938924774185411e-46,5.030911355438862e-44,Hypo-marked
AT4G06965,2821.806367736544,-1.3080385467165292,0.0922757125309914,-14.175328597730587,1.3023212007385704e-45,3.2201040795202975e-43,Hypo-marked
AT3G26600,1607.3040604557152,1.1873101162199893,0.083858292365274,14.15852961861239,1.6541915724521194e-45,4.042574916072813e-43,Hyper-marked
AT4G00150,2666.2281142346924,-1.7045795159190602,0.1204625887602939,-14.150281290326316,1.8601175015136754e-45,4.493573509116428e-43,Hypo-marked
AT3G08090,1680.093032379963,-1.083573841973507,0.07666703479151983,-14.133503987992524,2.360981078964805e-45,5.575363970404865e-43,Hypo-marked
AT3G49950,1680.093032379963,-1.083573841973507,0.07666703479151983,-14.133503987992524,2.360981078964805e-45,5.575363970404865e-43,Hypo-marked
AT4G24630,903.7872981480048,1.3302134827426466,0.09536708665239164,13.948349786454203,3.219690330845508e-44,7.122971756145266e-42,Hyper-marked
