gene,type,gene_model_description,all_gene_symbols,log2foldchange,p_value,ubp5_target
AT2G33250,NA,NA,NA,NA,NA,NA
AT2G33290,NA,NA,NA,NA,NA,NA
AT2G33320,NA,NA,NA,NA,NA,NA
AT2G33390,NA,NA,NA,NA,NA,NA
AT2G33410,NA,NA,NA,NA,NA,NA
AT2G33540,NA,NA,NA,NA,NA,NA
AT2G33550,NA,NA,NA,NA,NA,NA
AT2G33570,NA,NA,NA,NA,NA,NA
AT2G08640,NA,NA,NA,NA,NA,NA
AT2G34050,NA,NA,NA,NA,NA,NA
AT2G34160,NA,NA,NA,NA,NA,NA
AT2G34380,NA,NA,NA,NA,NA,NA
AT2G34400,NA,NA,NA,NA,NA,NA
AT2G34730,NA,NA,NA,NA,NA,NA
AT2G34780,NA,NA,NA,NA,NA,NA
AT2G34970,NA,NA,NA,NA,NA,NA
AT2G35010,NA,NA,NA,NA,NA,NA
AT2G35100,NA,NA,NA,NA,NA,NA
AT2G35170,NA,NA,NA,NA,NA,NA
AT2G35230,NA,NA,NA,NA,NA,NA
AT2G35260,downregulated,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G17840.1); Has 42 Blast hits to 42 proteins in 14 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 42; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,NA,-0.526752049058281,1.90316129834901e-4,FALSE
AT2G35350,NA,NA,NA,NA,NA,NA
AT2G35360,NA,NA,NA,NA,NA,NA
AT2G08725,NA,NA,NA,NA,NA,NA
AT2G35470,NA,NA,NA,NA,NA,NA
AT2G35530,NA,NA,NA,NA,NA,NA
AT2G35600,NA,NA,NA,NA,NA,NA
AT2G35630,NA,NA,NA,NA,NA,NA
AT2G35680,NA,NA,NA,NA,NA,NA
AT2G36010,NA,NA,NA,NA,NA,NA
AT2G36070,NA,NA,NA,NA,NA,NA
AT2G36200,NA,NA,NA,NA,NA,NA
AT2G08780,NA,NA,NA,NA,NA,NA
AT2G36480,NA,NA,NA,NA,NA,NA
AT2G36880,NA,NA,NA,NA,NA,NA
AT2G36930,NA,NA,NA,NA,NA,NA
AT2G36960,NA,NA,NA,NA,NA,NA
AT2G37000,NA,NA,NA,NA,NA,NA
AT2G37340,NA,NA,NA,NA,NA,NA
AT2G37480,NA,NA,NA,NA,NA,NA
AT2G37500,NA,NA,NA,NA,NA,NA
AT2G37520,NA,NA,NA,NA,NA,NA
AT2G37840,NA,NA,NA,NA,NA,NA
AT2G08900,NA,NA,NA,NA,NA,NA
AT2G38050,NA,NA,NA,NA,NA,NA
AT2G38185,NA,NA,NA,NA,NA,NA
AT2G08945,NA,NA,NA,NA,NA,NA
AT2G38360,NA,NA,NA,NA,NA,NA
AT2G38410,NA,NA,NA,NA,NA,NA
AT2G38860,NA,NA,NA,NA,NA,NA
AT2G38870,upregulated,"Predicted to encode a PR (pathogenesis-related) peptide that belongs to the PR-6 proteinase inhibitor family.  Six putative PR-6-type protein encoding genes are found in Arabidopsis: At2g38900, At2g38870, At5g43570, At5g43580, At3g50020 and At3g46860.",NA,0.558827473818257,5.1659188895971e-4,FALSE
AT2G38880,NA,NA,NA,NA,NA,NA
AT2G38960,NA,NA,NA,NA,NA,NA
AT2G39020,NA,NA,NA,NA,NA,NA
AT2G39170,NA,NA,NA,NA,NA,NA
AT2G39260,NA,NA,NA,NA,NA,NA
AT2G39340,NA,NA,NA,NA,NA,NA
AT2G39350,NA,NA,NA,NA,NA,NA
AT2G39360,NA,NA,NA,NA,NA,NA
AT2G39630,NA,NA,NA,NA,NA,NA
AT2G39650,NA,NA,NA,NA,NA,NA
AT2G39710,NA,NA,NA,NA,NA,NA
AT2G40000,NA,NA,NA,NA,NA,NA
AT2G40140,NA,NA,NA,NA,NA,NA
AT2G40230,NA,NA,NA,NA,NA,NA
AT2G40240,NA,NA,NA,NA,NA,NA
AT2G40540,NA,NA,NA,NA,NA,NA
AT2G40620,NA,NA,NA,NA,NA,NA
AT2G40650,NA,NA,NA,NA,NA,NA
AT2G00890,NA,NA,NA,NA,NA,NA
AT2G40770,NA,NA,NA,NA,NA,NA
AT2G40800,NA,NA,NA,NA,NA,NA
AT2G40830,downregulated,Encodes a putative RING-H2 finger protein RHC1a.,RING-H2 FINGER C1A (RHC1A),-0.48636533006513,0.00103673705615241,TRUE
AT2G40930,NA,NA,NA,NA,NA,NA
AT2G40950,NA,NA,NA,NA,NA,NA
AT2G40980,NA,NA,NA,NA,NA,NA
AT2G41060,NA,NA,NA,NA,NA,NA
AT2G09225,NA,NA,NA,NA,NA,NA
AT2G41170,NA,NA,NA,NA,NA,NA
AT2G41340,NA,NA,NA,NA,NA,NA
AT2G41430,NA,NA,NA,NA,NA,NA
AT2G41460,NA,NA,NA,NA,NA,NA
AT2G41510,NA,NA,NA,NA,NA,NA
AT2G41550,NA,NA,NA,NA,NA,NA
AT2G41560,NA,NA,NA,NA,NA,NA
AT2G41600,NA,NA,NA,NA,NA,NA
AT2G41630,NA,NA,NA,NA,NA,NA
AT2G41960,NA,NA,NA,NA,NA,NA
AT2G41980,NA,NA,NA,NA,NA,NA
AT2G42030,NA,NA,NA,NA,NA,NA
AT2G42290,NA,NA,NA,NA,NA,NA
AT2G42500,NA,NA,NA,NA,NA,NA
AT2G42520,NA,NA,NA,NA,NA,NA
AT2G42650,NA,NA,NA,NA,NA,NA
AT2G42780,NA,NA,NA,NA,NA,NA
AT2G42800,NA,NA,NA,NA,NA,NA
AT2G42865,NA,NA,NA,NA,NA,NA
AT2G42880,NA,NA,NA,NA,NA,NA
AT2G43020,NA,NA,NA,NA,NA,NA
AT2G43050,NA,NA,NA,NA,NA,NA
AT2G43060,NA,NA,NA,NA,NA,NA
AT2G43080,NA,NA,NA,NA,NA,NA
AT2G43180,NA,NA,NA,NA,NA,NA
AT2G43200,NA,NA,NA,NA,NA,NA
AT2G09435,NA,NA,NA,NA,NA,NA
AT2G43540,NA,NA,NA,NA,NA,NA
AT2G43780,NA,NA,NA,NA,NA,NA
AT2G43945,NA,NA,NA,NA,NA,NA
AT2G43950,NA,NA,NA,NA,NA,NA
AT2G44190,NA,NA,NA,NA,NA,NA
AT2G44200,NA,NA,NA,NA,NA,NA
AT2G44440,NA,NA,NA,NA,NA,NA
AT2G44500,NA,NA,NA,NA,NA,NA
AT2G44600,NA,NA,NA,NA,NA,NA
AT2G44610,NA,NA,NA,NA,NA,NA
AT2G44670,NA,NA,NA,NA,NA,NA
AT2G44680,NA,NA,NA,NA,NA,NA
AT2G44710,NA,NA,NA,NA,NA,NA
AT2G44820,NA,NA,NA,NA,NA,NA
AT2G44840,upregulated,"encodes a member of the ERF (ethylene response factor) subfamily B-3 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 18 members in this subfamily including ATERF-1, ATERF-2, AND ATERF-5.",(EREBP);ETHYLENE-RESPONSIVE ELEMENT BINDING FACTOR 13 (ATERF13);ETHYLENE-RESPONSIVE ELEMENT BINDING FACTOR 13 (ERF13),1.46129058798977,2.25560424108089e-4,FALSE
AT2G44940,NA,NA,NA,NA,NA,NA
AT2G44950,NA,NA,NA,NA,NA,NA
AT2G45023,NA,NA,NA,NA,NA,NA
AT2G45140,NA,NA,NA,NA,NA,NA
AT2G45160,NA,NA,NA,NA,NA,NA
AT2G45170,NA,NA,NA,NA,NA,NA
AT2G45180,NA,NA,NA,NA,NA,NA
AT2G09620,NA,NA,NA,NA,NA,NA
AT2G45570,NA,NA,NA,NA,NA,NA
AT2G45620,NA,NA,NA,NA,NA,NA
AT2G45640,NA,NA,NA,NA,NA,NA
AT2G45710,NA,NA,NA,NA,NA,NA
AT2G45780,NA,NA,NA,NA,NA,NA
AT2G45880,NA,NA,NA,NA,NA,NA
AT2G45970,NA,NA,NA,NA,NA,NA
AT2G45980,NA,NA,NA,NA,NA,NA
AT2G46020,NA,NA,NA,NA,NA,NA
AT2G46030,NA,NA,NA,NA,NA,NA
AT2G46040,NA,NA,NA,NA,NA,NA
AT2G46170,NA,NA,NA,NA,NA,NA
AT2G46200,NA,NA,NA,NA,NA,NA
AT2G46320,NA,NA,NA,NA,NA,NA
AT2G46320,NA,NA,NA,NA,NA,NA
AT2G46490,NA,NA,NA,NA,NA,NA
AT2G46500,NA,NA,NA,NA,NA,NA
AT2G46520,NA,NA,NA,NA,NA,NA
AT2G46540,NA,NA,NA,NA,NA,NA
AT2G46685,NA,NA,NA,NA,NA,NA
AT2G46735,NA,NA,NA,NA,NA,NA
AT2G46800,NA,NA,NA,NA,NA,NA
AT2G47000,NA,NA,NA,NA,NA,NA
AT2G47210,NA,NA,NA,NA,NA,NA
AT2G47330,NA,NA,NA,NA,NA,NA
AT2G47350,NA,NA,NA,NA,NA,NA
AT2G47840,NA,NA,NA,NA,NA,NA
AT2G47900,NA,NA,NA,NA,NA,NA
AT2G48030,NA,NA,NA,NA,NA,NA
AT3G01060,NA,NA,NA,NA,NA,NA
AT3G01090,NA,NA,NA,NA,NA,NA
AT3G01200,NA,NA,NA,NA,NA,NA
AT3G01300,NA,NA,NA,NA,NA,NA
AT3G00980,NA,NA,NA,NA,NA,NA
AT3G01360,NA,NA,NA,NA,NA,NA
AT3G01480,NA,NA,NA,NA,NA,NA
AT3G01600,upregulated,"NAC domain containing protein 44 (NAC044); FUNCTIONS IN: sequence-specific DNA binding transcription factor activity; INVOLVED IN: multicellular organismal development, regulation of transcription; CONTAINS InterPro DOMAIN/s: No apical meristem (NAM) protein (InterPro:IPR003441); BEST Arabidopsis thaliana protein match is: NAC domain containing protein 85 (TAIR:AT5G14490.1); Has 1967 Blast hits to 1962 proteins in 64 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 1967; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).",NAC DOMAIN CONTAINING PROTEIN 44 (NAC044);NAC DOMAIN CONTAINING PROTEIN 44 (anac044),1.83547499183095,1.44332564352547e-5,TRUE
AT3G01650,NA,NA,NA,NA,NA,NA
AT3G01720,NA,NA,NA,NA,NA,NA
AT3G01890,downregulated,SWIB/MDM2 domain superfamily protein; CONTAINS InterPro DOMAIN/s: SWIB/MDM2 domain (InterPro:IPR003121); BEST Arabidopsis thaliana protein match is: SWIB/MDM2 domain superfamily protein (TAIR:AT5G14170.1); Has 893 Blast hits to 865 proteins in 236 species: Archae - 0; Bacteria - 105; Metazoa - 289; Fungi - 279; Plants - 159; Viruses - 0; Other Eukaryotes - 61 (source: NCBI BLink).,NA,-0.69709765305367,0.00101802869387345,TRUE
AT3G02010,NA,NA,NA,NA,NA,NA
AT3G02040,NA,NA,NA,NA,NA,NA
AT3G02130,NA,NA,NA,NA,NA,NA
AT3G02190,NA,NA,NA,NA,NA,NA
AT3G02300,NA,NA,NA,NA,NA,NA
AT3G02340,NA,NA,NA,NA,NA,NA
AT3G02470,NA,NA,NA,NA,NA,NA
AT3G02520,NA,NA,NA,NA,NA,NA
AT3G02550,upregulated,"LOB domain-containing protein 41 (LBD41); CONTAINS InterPro DOMAIN/s: Lateral organ boundaries, LOB (InterPro:IPR004883), Asymmetric leaves, AS2/LOB (InterPro:IPR017414); BEST Arabidopsis thaliana protein match is: LOB domain-containing protein 40 (TAIR:AT1G67100.1); Has 601 Blast hits to 600 proteins in 23 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 601; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).",LOB DOMAIN-CONTAINING PROTEIN 41 (LBD41),1.27483585570374,6.98932568671982e-8,TRUE
AT3G02560,NA,NA,NA,NA,NA,NA
AT3G02570,NA,NA,NA,NA,NA,NA
AT3G02580,NA,NA,NA,NA,NA,NA
AT3G01135,NA,NA,NA,NA,NA,NA
AT3G02760,NA,NA,NA,NA,NA,NA
AT3G02780,NA,NA,NA,NA,NA,NA
AT3G02800,NA,NA,NA,NA,NA,NA
AT3G02820,NA,NA,NA,NA,NA,NA
AT3G02850,NA,NA,NA,NA,NA,NA
AT3G02860,NA,NA,NA,NA,NA,NA
AT3G02880,NA,NA,NA,NA,NA,NA
AT3G02890,NA,NA,NA,NA,NA,NA
AT3G03050,NA,NA,NA,NA,NA,NA
AT3G03070,NA,NA,NA,NA,NA,NA
AT3G03310,NA,NA,NA,NA,NA,NA
AT3G03330,NA,NA,NA,NA,NA,NA
AT3G03420,NA,NA,NA,NA,NA,NA
AT3G03450,NA,NA,NA,NA,NA,NA
AT3G03460,NA,NA,NA,NA,NA,NA
AT3G03600,NA,NA,NA,NA,NA,NA
AT3G03860,NA,NA,NA,NA,NA,NA
AT3G03870,downregulated,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G18130.1); Has 47 Blast hits to 47 proteins in 13 species: Archae - 0; Bacteria - 0; Metazoa - 2; Fungi - 0; Plants - 45; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,NA,-0.875004253422745,2.28058207727881e-7,FALSE
AT3G03890,NA,NA,NA,NA,NA,NA
AT3G03970,NA,NA,NA,NA,NA,NA
AT3G04240,NA,NA,NA,NA,NA,NA
AT3G04350,NA,NA,NA,NA,NA,NA
AT3G04370,NA,NA,NA,NA,NA,NA
AT3G04500,NA,NA,NA,NA,NA,NA
AT3G04630,NA,NA,NA,NA,NA,NA
AT3G04650,NA,NA,NA,NA,NA,NA
AT3G04730,NA,NA,NA,NA,NA,NA
AT3G04980,NA,NA,NA,NA,NA,NA
AT3G05090,NA,NA,NA,NA,NA,NA
AT3G05130,NA,NA,NA,NA,NA,NA
AT3G05155,NA,NA,NA,NA,NA,NA
AT3G05270,NA,NA,NA,NA,NA,NA
AT3G05290,NA,NA,NA,NA,NA,NA
AT3G05320,NA,NA,NA,NA,NA,NA
AT3G05480,NA,NA,NA,NA,NA,NA
AT3G05530,NA,NA,NA,NA,NA,NA
AT3G05545,NA,NA,NA,NA,NA,NA
AT3G05580,NA,NA,NA,NA,NA,NA
AT3G05625,NA,NA,NA,NA,NA,NA
AT3G05630,NA,NA,NA,NA,NA,NA
AT3G05850,NA,NA,NA,NA,NA,NA
AT3G06140,NA,NA,NA,NA,NA,NA
AT3G06190,NA,NA,NA,NA,NA,NA
AT3G06240,NA,NA,NA,NA,NA,NA
AT3G06270,NA,NA,NA,NA,NA,NA
AT3G06310,NA,NA,NA,NA,NA,NA
AT3G06340,NA,NA,NA,NA,NA,NA
AT3G06435,upregulated,Expressed protein; Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).,NA,1.24316715553018,3.83204247615679e-5,FALSE
AT3G06455,NA,NA,NA,NA,NA,NA
AT3G06470,NA,NA,NA,NA,NA,NA
AT3G06670,NA,NA,NA,NA,NA,NA
AT3G06740,NA,NA,NA,NA,NA,NA
AT3G06760,NA,NA,NA,NA,NA,NA
AT3G01895,NA,NA,NA,NA,NA,NA
AT3G06790,NA,NA,NA,NA,NA,NA
AT3G06820,downregulated,Mov34/MPN/PAD-1 family protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: ubiquitin-dependent protein catabolic process; LOCATED IN: endomembrane system; CONTAINS InterPro DOMAIN/s: Mov34/MPN/PAD-1 (InterPro:IPR000555); BEST Arabidopsis thaliana protein match is: Mov34/MPN/PAD-1 family protein (TAIR:AT1G80210.1); Has 1006 Blast hits to 928 proteins in 230 species: Archae - 0; Bacteria - 7; Metazoa - 464; Fungi - 225; Plants - 185; Viruses - 0; Other Eukaryotes - 125 (source: NCBI BLink).,(AtBRCC36B);BRCA1/BRCA2-CONTAINING COMPLEX 36 HOMOLOG B (BRCC36B),-0.914930339416801,6.27459779079026e-8,TRUE
AT3G06910,NA,NA,NA,NA,NA,NA
AT3G06930,NA,NA,NA,NA,NA,NA
AT3G07050,upregulated,Arabidopsis NSN1 encodes a nucleolar GTP-   binding protein and is required for maintenance of inflorescence meristem identity and floral organ development.,NUCLEOSTEMIN-LIKE 1 (NSN1),0.513203414952744,4.70114389694099e-4,TRUE
AT3G07170,NA,NA,NA,NA,NA,NA
AT3G07215,NA,NA,NA,NA,NA,NA
AT3G07320,NA,NA,NA,NA,NA,NA
AT3G07370,NA,NA,NA,NA,NA,NA
AT3G07470,NA,NA,NA,NA,NA,NA
AT3G07560,NA,NA,NA,NA,NA,NA
AT3G07565,NA,NA,NA,NA,NA,NA
AT3G07610,NA,NA,NA,NA,NA,NA
AT3G07680,NA,NA,NA,NA,NA,NA
AT3G07760,NA,NA,NA,NA,NA,NA
AT3G07780,NA,NA,NA,NA,NA,NA
AT3G07790,NA,NA,NA,NA,NA,NA
AT3G07980,NA,NA,NA,NA,NA,NA
AT3G08530,NA,NA,NA,NA,NA,NA
AT3G08610,NA,NA,NA,NA,NA,NA
AT3G08636,NA,NA,NA,NA,NA,NA
AT3G08670,NA,NA,NA,NA,NA,NA
AT3G08710,NA,NA,NA,NA,NA,NA
AT3G08720,NA,NA,NA,NA,NA,NA
AT3G08760,NA,NA,NA,NA,NA,NA
AT3G08780,NA,NA,NA,NA,NA,NA
AT3G08850,NA,NA,NA,NA,NA,NA
AT3G08910,NA,NA,NA,NA,NA,NA
AT3G08930,NA,NA,NA,NA,NA,NA
AT3G09010,NA,NA,NA,NA,NA,NA
AT3G09040,NA,NA,NA,NA,NA,NA
AT3G02095,NA,NA,NA,NA,NA,NA
AT3G09100,NA,NA,NA,NA,NA,NA
AT3G09210,NA,NA,NA,NA,NA,NA
AT3G09310,NA,NA,NA,NA,NA,NA
AT3G09370,NA,NA,NA,NA,NA,NA
AT3G09480,NA,NA,NA,NA,NA,NA
AT3G09570,NA,NA,NA,NA,NA,NA
AT3G09850,NA,NA,NA,NA,NA,NA
AT3G09980,NA,NA,NA,NA,NA,NA
AT3G10030,NA,NA,NA,NA,NA,NA
AT3G10040,upregulated,sequence-specific DNA binding transcription factors; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G76870.1); Has 3136 Blast hits to 1955 proteins in 249 species: Archae - 4; Bacteria - 147; Metazoa - 846; Fungi - 267; Plants - 330; Viruses - 57; Other Eukaryotes - 1485 (source: NCBI BLink).,NA,1.32997121868571,4.84417099297335e-7,TRUE
AT3G10070,NA,NA,NA,NA,NA,NA
AT3G10130,NA,NA,NA,NA,NA,NA
AT3G10180,NA,NA,NA,NA,NA,NA
AT3G10330,NA,NA,NA,NA,NA,NA
AT3G10400,NA,NA,NA,NA,NA,NA
AT3G10440,NA,NA,NA,NA,NA,NA
AT3G10530,NA,NA,NA,NA,NA,NA
AT3G10550,NA,NA,NA,NA,NA,NA
AT3G10640,NA,NA,NA,NA,NA,NA
AT3G10650,NA,NA,NA,NA,NA,NA
AT3G10670,NA,NA,NA,NA,NA,NA
AT3G10690,upregulated,"DNA GYRASE A (GYRA); FUNCTIONS IN: DNA topoisomerase activity, catalytic activity, ATP binding; INVOLVED IN: DNA topological change, DNA metabolic process; LOCATED IN: mitochondrion, chloroplast, nucleoid; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: DNA gyrase, subunit A (InterPro:IPR005743), DNA topoisomerase, type IIA, subunit A/C-terminal (InterPro:IPR002205), DNA topoisomerase, type IIA, subunit A/ C-terminal, alpha-beta (InterPro:IPR013758), DNA topoisomerase, type IIA, subunit A, alpha-helical (InterPro:IPR013757), DNA topoisomerase, type IIA, central (InterPro:IPR013760), DNA gyrase/topoisomerase IV, subunit A, C-terminal beta-pinwheel (InterPro:IPR006691); BEST Arabidopsis thaliana protein match is: topoisomerase II (TAIR:AT3G23890.1); Has 22353 Blast hits to 21396 proteins in 3265 species: Archae - 84; Bacteria - 12907; Metazoa - 182; Fungi - 204; Plants - 111; Viruses - 99; Other Eukaryotes - 8766 (source: NCBI BLink).",DNA GYRASE A (GYRA),0.776667076080568,9.74899146589734e-7,TRUE
AT3G10730,NA,NA,NA,NA,NA,NA
AT3G10745,NA,NA,NA,NA,NA,NA
AT3G10770,NA,NA,NA,NA,NA,NA
AT3G10800,NA,NA,NA,NA,NA,NA
AT3G10820,NA,NA,NA,NA,NA,NA
AT3G10915,NA,NA,NA,NA,NA,NA
AT3G10985,NA,NA,NA,NA,NA,NA
AT3G11320,NA,NA,NA,NA,NA,NA
AT3G11420,NA,NA,NA,NA,NA,NA
AT3G02435,NA,NA,NA,NA,NA,NA
AT3G11530,NA,NA,NA,NA,NA,NA
AT3G11560,NA,NA,NA,NA,NA,NA
AT3G11650,NA,NA,NA,NA,NA,NA
AT3G11700,NA,NA,NA,NA,NA,NA
AT3G11850,NA,NA,NA,NA,NA,NA
AT3G11964,NA,NA,NA,NA,NA,NA
AT3G12020,NA,NA,NA,NA,NA,NA
AT3G12020,NA,NA,NA,NA,NA,NA
AT3G12130,NA,NA,NA,NA,NA,NA
AT3G12140,NA,NA,NA,NA,NA,NA
AT3G12210,NA,NA,NA,NA,NA,NA
AT3G12280,NA,NA,NA,NA,NA,NA
AT3G12370,NA,NA,NA,NA,NA,NA
AT3G12380,NA,NA,NA,NA,NA,NA
AT3G12480,NA,NA,NA,NA,NA,NA
AT3G12560,NA,NA,NA,NA,NA,NA
AT3G12570,NA,NA,NA,NA,NA,NA
AT3G12600,NA,NA,NA,NA,NA,NA
AT3G12610,NA,NA,NA,NA,NA,NA
AT3G12640,NA,NA,NA,NA,NA,NA
AT3G12860,NA,NA,NA,NA,NA,NA
AT3G12980,NA,NA,NA,NA,NA,NA
AT3G12990,NA,NA,NA,NA,NA,NA
AT3G13050,NA,NA,NA,NA,NA,NA
AT3G13200,NA,NA,NA,NA,NA,NA
AT3G13222,NA,NA,NA,NA,NA,NA
AT3G13226,NA,NA,NA,NA,NA,NA
AT3G13275,NA,NA,NA,NA,NA,NA
AT3G13277,downregulated,other RNA,NA,-1.08773801680287,0.00189408214421356,TRUE
AT3G13310,NA,NA,NA,NA,NA,NA
AT3G13340,NA,NA,NA,NA,NA,NA
AT3G13350,NA,NA,NA,NA,NA,NA
AT3G13380,NA,NA,NA,NA,NA,NA
AT3G13670,NA,NA,NA,NA,NA,NA
AT3G13674,NA,NA,NA,NA,NA,NA
AT3G13855,NA,NA,NA,NA,NA,NA
AT3G13860,NA,NA,NA,NA,NA,NA
AT3G13940,NA,NA,NA,NA,NA,NA
AT3G13990,NA,NA,NA,NA,NA,NA
AT3G14070,downregulated,"Involved in cation (K, Na and Mn) homeostasis and transport",CATION EXCHANGER 9 (CAX9);CATION CALCIUM EXCHANGER 3 (CCX3);CATION CALCIUM EXCHANGER 3 (ATCCX3),-1.38311541955321,1.29755295660052e-5,TRUE
AT3G14080,NA,NA,NA,NA,NA,NA
AT3G14100,NA,NA,NA,NA,NA,NA
AT3G14180,NA,NA,NA,NA,NA,NA
AT3G14220,NA,NA,NA,NA,NA,NA
AT3G14400,NA,NA,NA,NA,NA,NA
AT3G14690,NA,NA,NA,NA,NA,NA
AT3G14830,NA,NA,NA,NA,NA,NA
AT3G14840,NA,NA,NA,NA,NA,NA
AT3G14890,NA,NA,NA,NA,NA,NA
AT3G14900,upregulated,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: embryo development; LOCATED IN: chloroplast; EXPRESSED IN: 19 plant structures; EXPRESSED DURING: 13 growth stages; Has 17135 Blast hits to 10204 proteins in 644 species: Archae - 47; Bacteria - 1684; Metazoa - 5536; Fungi - 2506; Plants - 1043; Viruses - 361; Other Eukaryotes - 5958 (source: NCBI BLink).,EMBRYO DEFECTIVE 3120 (EMB3120),0.905478150688017,6.62543359627448e-6,TRUE
AT3G14960,NA,NA,NA,NA,NA,NA
AT3G15060,NA,NA,NA,NA,NA,NA
AT3G15120,NA,NA,NA,NA,NA,NA
AT3G00330,NA,NA,NA,NA,NA,NA
AT3G15351,NA,NA,NA,NA,NA,NA
AT3G15358,NA,NA,NA,NA,NA,NA
AT3G15450,NA,NA,NA,NA,NA,NA
AT3G15520,NA,NA,NA,NA,NA,NA
AT3G15850,NA,NA,NA,NA,NA,NA
AT3G16080,NA,NA,NA,NA,NA,NA
AT3G16310,upregulated,"mitotic phosphoprotein N' end (MPPN) family protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: MPPN (InterPro:IPR007846), Nucleoporin, NUP53 (InterPro:IPR017389); Has 220 Blast hits to 220 proteins in 83 species: Archae - 0; Bacteria - 0; Metazoa - 144; Fungi - 5; Plants - 57; Viruses - 0; Other Eukaryotes - 14 (source: NCBI BLink).",NA,0.555056692703746,1.28149146080397e-4,TRUE
AT3G16350,NA,NA,NA,NA,NA,NA
AT3G16510,NA,NA,NA,NA,NA,NA
AT3G16610,NA,NA,NA,NA,NA,NA
AT3G16640,NA,NA,NA,NA,NA,NA
AT3G16720,NA,NA,NA,NA,NA,NA
AT3G16730,downregulated,"CONTAINS InterPro DOMAIN/s: Non-SMC condensin II complex, subunit H2-like (InterPro:IPR009378); Has 249 Blast hits to 211 proteins in 82 species: Archae - 0; Bacteria - 0; Metazoa - 145; Fungi - 8; Plants - 30; Viruses - 0; Other Eukaryotes - 66 (source: NCBI BLink).",HYPERSENSITIVE TO EXCESS BORON 2 (HEB2),-0.89178332855911,3.96399026259242e-5,TRUE
AT3G16830,NA,NA,NA,NA,NA,NA
AT3G17030,NA,NA,NA,NA,NA,NA
AT3G17090,NA,NA,NA,NA,NA,NA
AT3G17330,NA,NA,NA,NA,NA,NA
AT3G17350,NA,NA,NA,NA,NA,NA
AT3G03475,NA,NA,NA,NA,NA,NA
AT3G17410,NA,NA,NA,NA,NA,NA
AT3G17440,NA,NA,NA,NA,NA,NA
AT3G17450,NA,NA,NA,NA,NA,NA
AT3G17510,NA,NA,NA,NA,NA,NA
AT3G17590,NA,NA,NA,NA,NA,NA
AT3G17611,NA,NA,NA,NA,NA,NA
AT3G17650,NA,NA,NA,NA,NA,NA
AT3G17860,NA,NA,NA,NA,NA,NA
AT3G18040,NA,NA,NA,NA,NA,NA
AT3G03605,NA,NA,NA,NA,NA,NA
AT3G18140,NA,NA,NA,NA,NA,NA
AT3G18165,NA,NA,NA,NA,NA,NA
AT3G18170,NA,NA,NA,NA,NA,NA
AT3G18190,NA,NA,NA,NA,NA,NA
AT3G18210,NA,NA,NA,NA,NA,NA
AT3G18360,NA,NA,NA,NA,NA,NA
AT3G18430,NA,NA,NA,NA,NA,NA
AT3G18524,NA,NA,NA,NA,NA,NA
AT3G18535,NA,NA,NA,NA,NA,NA
AT3G18580,NA,NA,NA,NA,NA,NA
AT3G18630,NA,NA,NA,NA,NA,NA
AT3G18830,NA,NA,NA,NA,NA,NA
AT3G18970,NA,NA,NA,NA,NA,NA
AT3G18980,downregulated,"EIN2 targeting protein1 (ETP1); CONTAINS InterPro DOMAIN/s: F-box domain, cyclin-like (InterPro:IPR001810), F-box domain, Skp2-like (InterPro:IPR022364), F-box associated domain, type 1 (InterPro:IPR006527), F-box associated interaction domain (InterPro:IPR017451); BEST Arabidopsis thaliana protein match is: EIN2 targeting protein2 (TAIR:AT3G18910.1); Has 1009 Blast hits to 963 proteins in 16 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 1009; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).",EIN2 TARGETING PROTEIN1 (ETP1),-0.46116981754209,8.71039705653556e-4,TRUE
AT3G19030,NA,NA,NA,NA,NA,NA
