gene,type,gene_model_description,all_gene_symbols,log2foldchange,p_value,ubp5_target
AT1G09020,NA,NA,NA,NA,NA,NA
AT1G09060,NA,NA,NA,NA,NA,NA
AT1G09070,NA,NA,NA,NA,NA,NA
AT1G09080,NA,NA,NA,NA,NA,NA
AT1G09160,NA,NA,NA,NA,NA,NA
AT1G09270,NA,NA,NA,NA,NA,NA
AT1G09320,NA,NA,NA,NA,NA,NA
AT1G09470,NA,NA,NA,NA,NA,NA
AT1G09520,NA,NA,NA,NA,NA,NA
AT1G09620,NA,NA,NA,NA,NA,NA
AT1G09730,NA,NA,NA,NA,NA,NA
AT1G09760,NA,NA,NA,NA,NA,NA
AT1G09770,NA,NA,NA,NA,NA,NA
AT1G09940,NA,NA,NA,NA,NA,NA
AT1G09980,NA,NA,NA,NA,NA,NA
AT1G10090,NA,NA,NA,NA,NA,NA
AT1G10095,NA,NA,NA,NA,NA,NA
AT1G10150,NA,NA,NA,NA,NA,NA
AT1G10155,NA,NA,NA,NA,NA,NA
AT1G10170,NA,NA,NA,NA,NA,NA
AT1G10230,downregulated,"SKP1-like 18 (SK18); FUNCTIONS IN: ubiquitin-protein ligase activity, protein binding; INVOLVED IN: ubiquitin-dependent protein catabolic process; EXPRESSED IN: 26 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: E3 ubiquitin ligase, SCF complex, Skp subunit (InterPro:IPR016897), SKP1 component, dimerisation (InterPro:IPR016072), SKP1 component (InterPro:IPR001232), BTB/POZ fold (InterPro:IPR011333), SKP1 component, POZ (InterPro:IPR016073); BEST Arabidopsis thaliana protein match is: SKP1-like 15 (TAIR:AT3G25650.1); Has 1421 Blast hits to 1417 proteins in 266 species: Archae - 0; Bacteria - 0; Metazoa - 533; Fungi - 174; Plants - 532; Viruses - 11; Other Eukaryotes - 171 (source: NCBI BLink).",SKP1-LIKE 18 (ASK18);SKP1-LIKE 18 (SK18),-0.751022886803045,0.00176413447426846,TRUE
AT1G10270,NA,NA,NA,NA,NA,NA
AT1G10390,NA,NA,NA,NA,NA,NA
AT1G10395,NA,NA,NA,NA,NA,NA
AT1G10500,NA,NA,NA,NA,NA,NA
AT1G10510,NA,NA,NA,NA,NA,NA
AT1G10580,NA,NA,NA,NA,NA,NA
AT1G10585,NA,NA,NA,NA,NA,NA
AT1G10590,NA,NA,NA,NA,NA,NA
AT1G10780,NA,NA,NA,NA,NA,NA
AT1G11010,NA,NA,NA,NA,NA,NA
AT1G11020,NA,NA,NA,NA,NA,NA
AT1G11100,NA,NA,NA,NA,NA,NA
AT1G11175,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
AT1G11310,NA,NA,NA,NA,NA,NA
AT1G11320,NA,NA,NA,NA,NA,NA
AT1G11630,NA,NA,NA,NA,NA,NA
AT1G11780,NA,NA,NA,NA,NA,NA
AT1G11800,NA,NA,NA,NA,NA,NA
AT1G11910,NA,NA,NA,NA,NA,NA
AT1G12370,NA,NA,NA,NA,NA,NA
AT1G12680,NA,NA,NA,NA,NA,NA
AT1G12700,NA,NA,NA,NA,NA,NA
AT1G12750,NA,NA,NA,NA,NA,NA
AT1G12760,NA,NA,NA,NA,NA,NA
AT1G12830,NA,NA,NA,NA,NA,NA
AT1G12840,NA,NA,NA,NA,NA,NA
AT1G12910,NA,NA,NA,NA,NA,NA
AT1G12920,NA,NA,NA,NA,NA,NA
AT1G13220,NA,NA,NA,NA,NA,NA
AT1G13350,NA,NA,NA,NA,NA,NA
AT1G13360,NA,NA,NA,NA,NA,NA
AT1G13630,NA,NA,NA,NA,NA,NA
AT1G05017,NA,NA,NA,NA,NA,NA
AT1G13690,NA,NA,NA,NA,NA,NA
AT1G13780,NA,NA,NA,NA,NA,NA
AT1G13870,NA,NA,NA,NA,NA,NA
AT1G13880,NA,NA,NA,NA,NA,NA
AT1G14020,NA,NA,NA,NA,NA,NA
AT1G14130,NA,NA,NA,NA,NA,NA
AT1G14180,NA,NA,NA,NA,NA,NA
AT1G14230,NA,NA,NA,NA,NA,NA
AT1G14430,NA,NA,NA,NA,NA,NA
AT1G14470,NA,NA,NA,NA,NA,NA
AT1G14510,NA,NA,NA,NA,NA,NA
AT1G14570,NA,NA,NA,NA,NA,NA
AT1G14680,NA,NA,NA,NA,NA,NA
AT1G14740,NA,NA,NA,NA,NA,NA
AT1G14850,NA,NA,NA,NA,NA,NA
AT1G14980,NA,NA,NA,NA,NA,NA
AT1G05137,NA,NA,NA,NA,NA,NA
AT1G15002,NA,NA,NA,NA,NA,NA
AT1G15230,NA,NA,NA,NA,NA,NA
AT1G15240,NA,NA,NA,NA,NA,NA
AT1G15270,NA,NA,NA,NA,NA,NA
AT1G15280,NA,NA,NA,NA,NA,NA
AT1G15340,downregulated,Protein containing methyl-CpG-binding domain.Has sequence similarity to human MBD proteins.,METHYL-CPG-BINDING DOMAIN 10 (MBD10),-0.83743885173145,2.61795449980429e-9,TRUE
AT1G15390,NA,NA,NA,NA,NA,NA
AT1G15400,NA,NA,NA,NA,NA,NA
AT1G15470,NA,NA,NA,NA,NA,NA
AT1G15530,NA,NA,NA,NA,NA,NA
AT1G15650,NA,NA,NA,NA,NA,NA
AT1G15660,NA,NA,NA,NA,NA,NA
AT1G15710,NA,NA,NA,NA,NA,NA
AT1G05187,NA,NA,NA,NA,NA,NA
AT1G15710,NA,NA,NA,NA,NA,NA
AT1G15720,NA,NA,NA,NA,NA,NA
AT1G15810,NA,NA,NA,NA,NA,NA
AT1G15825,NA,NA,NA,NA,NA,NA
AT1G15830,downregulated,unknown protein; Has 165982 Blast hits to 57214 proteins in 2459 species: Archae - 263; Bacteria - 44622; Metazoa - 55751; Fungi - 10656; Plants - 17613; Viruses - 2527; Other Eukaryotes - 34550 (source: NCBI BLink).,NA,-1.29085286853118,3.19224288640526e-12,TRUE
AT1G15860,NA,NA,NA,NA,NA,NA
AT1G15920,NA,NA,NA,NA,NA,NA
AT1G15940,NA,NA,NA,NA,NA,NA
AT1G15970,NA,NA,NA,NA,NA,NA
AT1G16020,NA,NA,NA,NA,NA,NA
AT1G16180,NA,NA,NA,NA,NA,NA
AT1G16280,NA,NA,NA,NA,NA,NA
AT1G16520,NA,NA,NA,NA,NA,NA
AT1G16916,NA,NA,NA,NA,NA,NA
AT1G17040,NA,NA,NA,NA,NA,NA
AT1G17080,NA,NA,NA,NA,NA,NA
AT1G17130,NA,NA,NA,NA,NA,NA
AT1G17280,NA,NA,NA,NA,NA,NA
AT1G17290,NA,NA,NA,NA,NA,NA
AT1G17410,NA,NA,NA,NA,NA,NA
AT1G17490,NA,NA,NA,NA,NA,NA
AT1G17550,NA,NA,NA,NA,NA,NA
AT1G17620,NA,NA,NA,NA,NA,NA
