gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT1G01010	14.2810584126723	-1.62134443127305	0.478492920057716	-3.38843975178877	0.000702914692820458	0.0149962549180314
AT1G01020	27.7695300966315	0.0532965441483547	0.281023977949356	0.189651233810231	0.849582436931567	0.958798063995921
AT1G01030	9.48978854666827	-0.476674167061225	0.504872826056065	-0.944147005860623	0.345094531515429	0.714019120194328
AT1G01040	34.9308747195923	0.046954325189777	0.262042125523896	0.179186171291742	0.857791521706128	0.961581527977657
AT1G01050	215.817865871306	0.0507345776489047	0.129549641725899	0.391622678171883	0.695337028963625	0.907068589447196
AT1G01060	3.21839084632329	-0.585628814797497	0.808051349643171	-0.724742078651445	0.468610275402784	0.798103824766726
AT1G01070	14.3345472991706	-0.145086874990855	0.420894931558945	-0.344710435104244	0.730312072375757	0.918029089428418
AT1G01080	131.354557360347	0.0918060148655795	0.156532785778712	0.586497035805421	0.557541552898883	0.846119700845494
AT1G01090	371.808558164644	-0.0319782589531727	0.131525649117937	-0.243133253229552	0.80790217160672	0.947730492474097
AT1G01100	601.189138882759	0.298063927817039	0.132025180065617	2.25762939818678	0.0239687742385341	0.17431444047981
AT1G01110	7.72582866509721	-0.790401011430636	0.518885993413037	-1.52326526725394	0.127692353024275	0.450740866845781
AT1G01120	92.0961279640429	0.0995520493163206	0.238021006354807	0.418249006005474	0.67576506900317	0.899700383160366
AT1G01130	1.98228383132711	-0.0335687659536386	1.080362351288	-0.0310717657956315	0.975212306424533	0.994368111885296
AT1G01140	141.667231083002	0.117690249037815	0.170718748050341	0.689380928467862	0.49058358185992	0.812483863668267
AT1G01150	0.0954948337318449	-0.281949024808532	3.5338115409304	-0.07978609542214	0.936407383311716	NA
AT1G01160	56.0059791401666	0.0417874360656243	0.207320554712318	0.201559542051242	0.840261076762722	0.955737462054139
AT1G01170	322.359327538525	0.0885452755856207	0.145212460124271	0.609763621591735	0.542018402851879	0.838625148346845
AT1G01180	57.4621788864151	0.172518165331136	0.220300759637971	0.783102907201238	0.43356668411362	0.778211411625662
AT1G01190	4.29851164307132	-2.35214867532225	0.958099465617137	-2.45501512080186	0.0140878662464366	0.125132672303109
AT1G01200	1.66540407331971	-0.052601218279221	1.10725536355557	-0.0475059503078951	0.96210998803202	0.99048177571071
AT1G01210	33.0527356030058	0.124983674988512	0.267588934573273	0.467073405661652	0.640447360486235	0.885439779768614
AT1G01220	34.530457854598	0.347368377643153	0.278297672266968	1.24819002190549	0.211961477176289	0.581041051218548
AT1G01225	6.10971239227401	0.0861850266930585	0.603233386557043	0.142871778342641	0.886391447502773	0.969670436269125
AT1G01230	103.14984951622	0.140443083756726	0.158278928865655	0.887313837433988	0.374909957704009	0.739544903400329
AT1G01240	72.4832080031224	-0.001661723011913	0.220587473846522	-0.00753317032439103	0.9939894565527	0.997799808350229
AT1G01250	5.22514936703557	0.532903836237019	0.63169050512969	0.843615396953941	0.398884357590296	0.754600704542487
AT1G01260	22.9336657192058	-0.0401982782423826	0.336900686623437	-0.119317887550978	0.905023512518543	0.974711142269958
AT1G01270	0	NA	NA	NA	NA	NA
AT1G01280	0	NA	NA	NA	NA	NA
AT1G01290	27.1606139240606	-0.59728652482093	0.285034468985445	-2.09548875596316	0.0361275669514466	0.224824628182464
AT1G01300	102.435839743941	0.260663915072581	0.227594099745932	1.14530172514826	0.252084191601074	0.627801955055671
AT1G01305	0.111025516774375	1.16072349559074	3.5338115409304	0.328462195039733	0.742562224054244	NA
AT1G01310	0.202318675484875	1.16072349559074	3.5338115409304	0.328462195039733	0.742562224054244	NA
AT1G01320	286.064873670859	0.200876744300914	0.13756706686925	1.46020954631413	0.144232492482209	0.481290572587473
AT1G01335	0	NA	NA	NA	NA	NA
AT1G01340	14.5033803999447	-0.959696170707591	0.444517573311942	-2.15896114872858	0.0308531811838002	0.204324030596712
AT1G01350	44.8850877271497	-0.0374395181868547	0.240546501384972	-0.155643578149308	0.876313973107265	0.966659786602037
AT1G01355	2.3423264067334	1.77147284405377	1.04689023331396	1.69212854192567	0.0906214675014934	0.37743393332325
AT1G01360	27.9538376042716	-0.551004164721162	0.306963797920564	-1.7950135112146	0.0726515472768778	0.336550055811922
AT1G01370	7.2637586902488	-0.516412611615368	0.56871934697772	-0.908027156733248	0.363863873959475	0.729901960311251
AT1G01380	2.60811493239585	-0.151433196748545	0.867157289606634	-0.174631752005728	0.861368997452745	0.962975400667833
AT1G01390	9.09977943903784	2.11884657086152	0.600295676115956	3.52967155214396	0.00041607585533621	0.010006104844441
AT1G01400	0	NA	NA	NA	NA	NA
AT1G01410	0	NA	NA	NA	NA	NA
AT1G01420	25.3011230266201	0.786219394581851	0.299011930717476	2.62939138480303	0.00855378517199436	0.0883556205840582
AT1G01430	109.783313967677	0.155277039017037	0.185257609594719	0.838168209968439	0.401936238519517	0.756551659967848
AT1G01440	34.5437564699199	0.160384948007108	0.259615970524731	0.61777766476747	0.536721908397897	0.835699968538211
AT1G01448	23.52033044723	-0.91502182442153	0.317634550086425	-2.88073770366782	0.00396745659787455	0.0529996286552967
AT1G01450	0	NA	NA	NA	NA	NA
AT1G01453	1.54557257922512	-0.4645441181917	1.35237451290518	-0.343502568082094	0.731220409183062	0.918029089428418
AT1G01460	0	NA	NA	NA	NA	NA
AT1G01470	226.881802003488	-0.151234653500704	0.196180730288858	-0.770894538306716	0.44076944472202	0.782322248310914
AT1G01480	3.93909554088302	-0.162506516062297	0.948788062117856	-0.171277994054389	0.86400518296952	0.96406070380583
